##NAMES=Clinofergusonite-(Ce)
##RRUFFID=R080102
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_
##LOCALITY=Amherst County, Virginia, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Tan to light brown colored fragment from metamict sample R070300, after heating at T = 1000 C for 20 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080102
7.366743e+002, 1.367045e-001
7.386027e+002, 1.344912e-001
7.405312e+002, 1.324519e-001
7.424597e+002, 1.304852e-001
7.443881e+002, 1.285721e-001
7.463166e+002, 1.267383e-001
7.482451e+002, 1.250795e-001
7.501735e+002, 1.234370e-001
7.521020e+002, 1.216632e-001
7.540305e+002, 1.201085e-001
7.559589e+002, 1.186344e-001
7.578874e+002, 1.172758e-001
7.598159e+002, 1.160270e-001
7.617443e+002, 1.147594e-001
7.636728e+002, 1.135158e-001
7.656013e+002, 1.122724e-001
7.675297e+002, 1.110547e-001
7.694582e+002, 1.098910e-001
7.713867e+002, 1.088163e-001
7.733151e+002, 1.076780e-001
7.752436e+002, 1.067032e-001
7.771721e+002, 1.058278e-001
7.791005e+002, 1.050336e-001
7.810290e+002, 1.045932e-001
7.829575e+002, 1.043830e-001
7.848859e+002, 1.043361e-001
7.868144e+002, 1.045020e-001
7.887429e+002, 1.050314e-001
7.906713e+002, 1.058958e-001
7.925998e+002, 1.069179e-001
7.945283e+002, 1.080970e-001
7.964567e+002, 1.090941e-001
7.983852e+002, 1.099720e-001
8.003137e+002, 1.106879e-001
8.022421e+002, 1.106314e-001
8.041706e+002, 1.098606e-001
8.060991e+002, 1.087161e-001
8.080275e+002, 1.073322e-001
8.099560e+002, 1.055433e-001
8.118845e+002, 1.032326e-001
8.138129e+002, 1.006867e-001
8.157414e+002, 9.760786e-002
8.176699e+002, 9.433331e-002
8.195983e+002, 9.096359e-002
8.215268e+002, 8.757272e-002
8.234553e+002, 8.427261e-002
8.253837e+002, 8.089258e-002
8.273122e+002, 7.755326e-002
8.292407e+002, 7.444765e-002
8.311691e+002, 7.133944e-002
8.330976e+002, 6.829298e-002
8.350261e+002, 6.535546e-002
8.369545e+002, 6.246913e-002
8.388830e+002, 5.962899e-002
8.408115e+002, 5.679138e-002
8.427399e+002, 5.387467e-002
8.446684e+002, 5.100856e-002
8.465969e+002, 4.813306e-002
8.485253e+002, 4.557332e-002
8.504538e+002, 4.335456e-002
8.523823e+002, 4.109741e-002
8.543107e+002, 3.876969e-002
8.562392e+002, 3.668031e-002
8.581677e+002, 3.492473e-002
8.600961e+002, 3.346763e-002
