##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
1.427065e+002, 2.390167e-002
1.446350e+002, 2.481418e-002
1.465634e+002, 2.562532e-002
1.484919e+002, 2.529788e-002
1.504204e+002, 2.353941e-002
1.523488e+002, 2.137509e-002
1.542773e+002, 2.024632e-002
1.562058e+002, 2.014490e-002
1.581342e+002, 2.053225e-002
1.600627e+002, 2.058285e-002
1.619912e+002, 2.099046e-002
1.639196e+002, 2.132786e-002
1.658481e+002, 2.163204e-002
1.677766e+002, 2.233439e-002
1.697050e+002, 2.328877e-002
1.716335e+002, 2.453979e-002
1.735620e+002, 2.627154e-002
1.754904e+002, 2.809883e-002
1.774189e+002, 3.025461e-002
1.793474e+002, 3.291776e-002
1.812758e+002, 3.546212e-002
1.832043e+002, 3.642312e-002
1.851328e+002, 3.621074e-002
1.870612e+002, 3.577083e-002
1.889897e+002, 3.514185e-002
1.909182e+002, 3.381806e-002
1.928466e+002, 3.171365e-002
1.947751e+002, 2.931722e-002
1.967036e+002, 2.795330e-002
1.986320e+002, 2.759465e-002
2.005605e+002, 2.791149e-002
2.024890e+002, 2.794520e-002
2.044174e+002, 2.805748e-002
2.063459e+002, 2.882973e-002
2.082744e+002, 3.061752e-002
2.102028e+002, 3.303377e-002
2.121313e+002, 3.502195e-002
2.140598e+002, 3.633421e-002
2.159882e+002, 3.651538e-002
2.179167e+002, 3.559241e-002
2.198452e+002, 3.422381e-002
2.217736e+002, 3.284326e-002
2.237021e+002, 3.186866e-002
2.256305e+002, 3.174168e-002
2.275590e+002, 3.223111e-002
2.294875e+002, 3.177250e-002
2.314159e+002, 3.007149e-002
2.333444e+002, 2.811440e-002
2.352729e+002, 2.692517e-002
2.372013e+002, 2.672486e-002
2.391298e+002, 2.754904e-002
2.410583e+002, 2.895112e-002
2.429867e+002, 3.083516e-002
2.449152e+002, 3.291786e-002
2.468437e+002, 3.516909e-002
2.487721e+002, 3.725082e-002
2.507006e+002, 3.795061e-002
2.526291e+002, 3.727379e-002
2.545575e+002, 3.553692e-002
2.564860e+002, 3.342902e-002
2.584145e+002, 3.157587e-002
2.603429e+002, 3.001413e-002
2.622714e+002, 2.892215e-002
2.641999e+002, 2.793057e-002
2.661283e+002, 2.734963e-002
2.680568e+002, 2.720618e-002
2.699853e+002, 2.756488e-002
2.719137e+002, 2.823247e-002
2.738422e+002, 2.907616e-002
2.757707e+002, 2.985448e-002
2.776991e+002, 3.072595e-002
2.796276e+002, 3.123262e-002
2.815561e+002, 3.120327e-002
2.834845e+002, 3.073508e-002
2.854130e+002, 3.014423e-002
2.873415e+002, 2.940489e-002
2.892699e+002, 2.857882e-002
2.911984e+002, 2.799678e-002
2.931269e+002, 2.784371e-002
2.950553e+002, 2.767571e-002
2.969838e+002, 2.770152e-002
2.989123e+002, 2.781669e-002
3.008407e+002, 2.807689e-002
3.027692e+002, 2.860938e-002
3.046977e+002, 2.917773e-002
3.066261e+002, 2.949099e-002
3.085546e+002, 2.989989e-002
3.104831e+002, 3.038512e-002
3.124115e+002, 3.108997e-002
3.143400e+002, 3.191514e-002
3.162685e+002, 3.312809e-002
3.181969e+002, 3.467312e-002
3.201254e+002, 3.579202e-002
3.220539e+002, 3.650636e-002
3.239823e+002, 3.696413e-002
3.259108e+002, 3.691933e-002
3.278392e+002, 3.625884e-002
3.297677e+002, 3.558632e-002
3.316962e+002, 3.572547e-002
3.336246e+002, 3.613844e-002
3.355531e+002, 3.632040e-002
3.374816e+002, 3.616368e-002
3.394100e+002, 3.611640e-002
3.413385e+002, 3.644146e-002
3.432670e+002, 3.678488e-002
3.451954e+002, 3.722902e-002
3.471239e+002, 3.772415e-002
3.490524e+002, 3.830396e-002
3.509808e+002, 3.895333e-002
3.529093e+002, 3.940851e-002
3.548378e+002, 3.990561e-002
3.567662e+002, 4.030687e-002
3.586947e+002, 4.048550e-002
3.606232e+002, 4.037891e-002
3.625516e+002, 4.009420e-002
3.644801e+002, 3.964441e-002
3.664086e+002, 3.969935e-002
3.683370e+002, 3.993268e-002
3.702655e+002, 4.008291e-002
3.721940e+002, 4.033553e-002
3.741224e+002, 4.099023e-002
3.760509e+002, 4.137360e-002
3.779794e+002, 4.144042e-002
3.799078e+002, 4.167892e-002
3.818363e+002, 4.217228e-002
3.837648e+002, 4.252718e-002
3.856932e+002, 4.273485e-002
3.876217e+002, 4.318708e-002
3.895502e+002, 4.390489e-002
3.914786e+002, 4.467926e-002
3.934071e+002, 4.539888e-002
3.953356e+002, 4.605141e-002
3.972640e+002, 4.643649e-002
3.991925e+002, 4.669353e-002
4.011210e+002, 4.693810e-002
4.030494e+002, 4.710207e-002
