##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
599.7532, 0.2331558
601.6816, 0.2373321
603.6101, 0.2410536
605.5386, 0.2447472
607.4670, 0.2491628
609.3955, 0.2540826
611.3240, 0.2581020
613.2524, 0.2610250
615.1809, 0.2642804
617.1094, 0.2667916
619.0378, 0.2690322
620.9663, 0.2705292
622.8948, 0.2719219
624.8232, 0.2736849
626.7517, 0.2741092
628.6802, 0.2739023
630.6086, 0.2739634
632.5371, 0.2731002
634.4656, 0.2712488
636.3940, 0.2694426
638.3225, 0.2665777
640.2510, 0.2628636
642.1794, 0.2587737
644.1079, 0.2541751
646.0364, 0.2504528
647.9648, 0.2456370
649.8933, 0.2398073
651.8218, 0.2344359
653.7502, 0.2292494
655.6787, 0.2234400
657.6072, 0.2178492
659.5356, 0.2130987
661.4641, 0.2086325
663.3926, 0.2037339
665.3210, 0.1989631
667.2495, 0.1935235
669.1780, 0.1878924
671.1064, 0.1823729
673.0349, 0.1773552
674.9634, 0.1724391
676.8918, 0.1683131
678.8203, 0.1647978
680.7488, 0.1616141
682.6772, 0.1585667
684.6057, 0.1561210
686.5342, 0.1542027
688.4626, 0.1523273
690.3911, 0.1516237
692.3196, 0.1530337
694.2480, 0.1565152
696.1765, 0.1633516
698.1050, 0.1737021
700.0334, 0.1862289
701.9619, 0.2010750
703.8904, 0.2183276
705.8188, 0.2353156
707.7473, 0.2497381
709.6758, 0.2612768
711.6042, 0.2699291
713.5327, 0.2748020
715.4612, 0.2743692
717.3896, 0.2693734
719.3181, 0.2611997
721.2466, 0.2507021
723.1750, 0.2381104
725.1035, 0.2248978
727.0320, 0.2119311
728.9604, 0.1990633
730.8889, 0.1870544
732.8174, 0.1761560
734.7458, 0.1661072
736.6743, 0.1572132
738.6028, 0.1490393
740.5313, 0.1415482
742.4597, 0.1343344
744.3882, 0.1272053
