##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
5.187575e+002, 6.848614e-002
5.206860e+002, 6.797306e-002
5.226144e+002, 6.736436e-002
5.245429e+002, 6.705204e-002
5.264714e+002, 6.653409e-002
5.283998e+002, 6.581018e-002
5.303283e+002, 6.512838e-002
5.322568e+002, 6.467079e-002
5.341852e+002, 6.382834e-002
5.361137e+002, 6.287065e-002
5.380422e+002, 6.211555e-002
5.399706e+002, 6.097981e-002
5.418991e+002, 6.036050e-002
5.438276e+002, 5.988660e-002
5.457560e+002, 5.918209e-002
5.476845e+002, 5.871050e-002
5.496130e+002, 5.824021e-002
5.515414e+002, 5.768468e-002
5.534699e+002, 5.719335e-002
5.553984e+002, 5.651537e-002
5.573268e+002, 5.586514e-002
5.592553e+002, 5.562167e-002
5.611838e+002, 5.518557e-002
5.631122e+002, 5.446055e-002
5.650407e+002, 5.378796e-002
5.669692e+002, 5.314139e-002
5.688976e+002, 5.227850e-002
5.708261e+002, 5.113998e-002
5.727546e+002, 5.047178e-002
5.746830e+002, 5.006396e-002
5.766115e+002, 4.964320e-002
5.785400e+002, 4.891982e-002
5.804684e+002, 4.812499e-002
5.823969e+002, 4.757746e-002
5.843254e+002, 4.736720e-002
5.862538e+002, 4.717949e-002
5.881823e+002, 4.686858e-002
5.901108e+002, 4.662772e-002
5.920392e+002, 4.648004e-002
5.939677e+002, 4.639040e-002
5.958962e+002, 4.643148e-002
5.978246e+002, 4.643581e-002
5.997531e+002, 4.640820e-002
6.016816e+002, 4.643904e-002
6.036100e+002, 4.652922e-002
6.055385e+002, 4.650441e-002
6.074670e+002, 4.647368e-002
6.093954e+002, 4.653630e-002
6.113239e+002, 4.684771e-002
6.132524e+002, 4.723674e-002
6.151808e+002, 4.749251e-002
6.171093e+002, 4.766921e-002
6.190378e+002, 4.814832e-002
6.209662e+002, 4.892783e-002
6.228947e+002, 4.960337e-002
6.248232e+002, 5.012618e-002
6.267516e+002, 5.060323e-002
6.286801e+002, 5.141663e-002
6.306086e+002, 5.231078e-002
6.325370e+002, 5.325313e-002
6.344655e+002, 5.410143e-002
