##NAMES=Aeschynite-(Y)
##RRUFFID=R080045
##IDEAL CHEMISTRY=(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_
##LOCALITY=Hittero, Vest-Agder, Norway
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Light brown glassy, from black amorphous sample R060312 after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080045
6.460363e+002, 1.860632e-001
6.479648e+002, 1.838654e-001
6.498932e+002, 1.818709e-001
6.518217e+002, 1.800200e-001
6.537502e+002, 1.780654e-001
6.556786e+002, 1.759497e-001
6.576071e+002, 1.740753e-001
6.595356e+002, 1.722883e-001
6.614641e+002, 1.701318e-001
6.633925e+002, 1.679619e-001
6.653210e+002, 1.659803e-001
6.672495e+002, 1.641148e-001
6.691779e+002, 1.616350e-001
6.711064e+002, 1.590139e-001
6.730349e+002, 1.565412e-001
6.749633e+002, 1.541240e-001
6.768918e+002, 1.517957e-001
6.788203e+002, 1.494978e-001
6.807487e+002, 1.469346e-001
6.826772e+002, 1.442868e-001
6.846057e+002, 1.415947e-001
6.865341e+002, 1.390791e-001
6.884626e+002, 1.365661e-001
6.903911e+002, 1.341302e-001
6.923195e+002, 1.319514e-001
6.942480e+002, 1.298963e-001
6.961765e+002, 1.277097e-001
6.981049e+002, 1.256523e-001
7.000334e+002, 1.238698e-001
7.019619e+002, 1.223312e-001
7.038903e+002, 1.210747e-001
7.058188e+002, 1.199768e-001
7.077473e+002, 1.189779e-001
7.096757e+002, 1.182351e-001
7.116042e+002, 1.179029e-001
7.135327e+002, 1.176880e-001
7.154611e+002, 1.173931e-001
7.173896e+002, 1.170404e-001
7.193181e+002, 1.167331e-001
7.212465e+002, 1.165334e-001
7.231750e+002, 1.164559e-001
7.251035e+002, 1.160961e-001
7.270319e+002, 1.156288e-001
7.289604e+002, 1.152216e-001
7.308889e+002, 1.146736e-001
7.328173e+002, 1.141121e-001
7.347458e+002, 1.136731e-001
7.366743e+002, 1.131907e-001
7.386027e+002, 1.125497e-001
7.405312e+002, 1.119133e-001
7.424597e+002, 1.112617e-001
7.443881e+002, 1.106900e-001
7.463166e+002, 1.102813e-001
7.482451e+002, 1.097011e-001
7.501735e+002, 1.088790e-001
7.521020e+002, 1.081332e-001
7.540305e+002, 1.073559e-001
7.559589e+002, 1.066181e-001
7.578874e+002, 1.059776e-001
7.598159e+002, 1.053544e-001
7.617443e+002, 1.045055e-001
7.636728e+002, 1.035250e-001
7.656013e+002, 1.026531e-001
7.675297e+002, 1.019242e-001
7.694582e+002, 1.012409e-001
7.713867e+002, 1.005191e-001
7.733151e+002, 9.964460e-002
7.752436e+002, 9.876288e-002
7.771721e+002, 9.791341e-002
7.791005e+002, 9.706330e-002
7.810290e+002, 9.623793e-002
7.829575e+002, 9.539076e-002
7.848859e+002, 9.466267e-002
7.868144e+002, 9.398168e-002
7.887429e+002, 9.317703e-002
7.906713e+002, 9.251158e-002
7.925998e+002, 9.186275e-002
7.945283e+002, 9.111952e-002
7.964567e+002, 9.034240e-002
7.983852e+002, 8.948799e-002
8.003137e+002, 8.878861e-002
8.022421e+002, 8.812962e-002
8.041706e+002, 8.741383e-002
8.060991e+002, 8.659557e-002
8.080275e+002, 8.587674e-002
8.099560e+002, 8.531360e-002
8.118845e+002, 8.451804e-002
8.138129e+002, 8.350348e-002
8.157414e+002, 8.268344e-002
8.176699e+002, 8.197886e-002
8.195983e+002, 8.111240e-002
8.215268e+002, 8.025753e-002
8.234553e+002, 7.948770e-002
8.253837e+002, 7.862549e-002
8.273122e+002, 7.752912e-002
8.292407e+002, 7.622888e-002
8.311691e+002, 7.503200e-002
8.330976e+002, 7.385093e-002
8.350261e+002, 7.262792e-002
8.369545e+002, 7.118673e-002
8.388830e+002, 6.954850e-002
8.408115e+002, 6.783105e-002
8.427399e+002, 6.621858e-002
8.446684e+002, 6.445239e-002
8.465969e+002, 6.241452e-002
8.485253e+002, 6.036786e-002
8.504538e+002, 5.840744e-002
8.523823e+002, 5.636256e-002
8.543107e+002, 5.427664e-002
8.562392e+002, 5.231964e-002
8.581677e+002, 5.030353e-002
8.600961e+002, 4.841072e-002
8.620246e+002, 4.649360e-002
8.639531e+002, 4.464659e-002
8.658815e+002, 4.285957e-002
8.678100e+002, 4.101548e-002
8.697385e+002, 3.934795e-002
8.716669e+002, 3.789761e-002
8.735954e+002, 3.653315e-002
8.755239e+002, 3.510183e-002
8.774523e+002, 3.377299e-002
8.793808e+002, 3.247636e-002
8.813093e+002, 3.128976e-002
8.832377e+002, 3.022993e-002
8.851662e+002, 2.937529e-002
8.870947e+002, 2.856053e-002
8.890231e+002, 2.771493e-002
8.909516e+002, 2.708780e-002
8.928801e+002, 2.657343e-002
8.948085e+002, 2.579294e-002
8.967370e+002, 2.507535e-002
8.986655e+002, 2.459997e-002
9.005939e+002, 2.417013e-002
9.025224e+002, 2.364600e-002
9.044509e+002, 2.309629e-002
9.063793e+002, 2.269466e-002
9.083078e+002, 2.217547e-002
9.102363e+002, 2.171717e-002
9.121647e+002, 2.139723e-002
9.140932e+002, 2.101710e-002
9.160217e+002, 2.056473e-002
9.179501e+002, 2.023814e-002
9.198786e+002, 1.999994e-002
9.218071e+002, 1.970651e-002
9.237355e+002, 1.923843e-002
9.256640e+002, 1.898949e-002
9.275925e+002, 1.892142e-002
9.295209e+002, 1.883653e-002
9.314494e+002, 1.851550e-002
9.333779e+002, 1.814773e-002
9.353063e+002, 1.797977e-002
9.372348e+002, 1.787492e-002
9.391633e+002, 1.768936e-002
9.410917e+002, 1.749099e-002
9.430202e+002, 1.735927e-002
9.449487e+002, 1.716751e-002
9.468771e+002, 1.712689e-002
9.488056e+002, 1.700864e-002
9.507341e+002, 1.678099e-002
9.526625e+002, 1.668983e-002
9.545910e+002, 1.652838e-002
9.565195e+002, 1.660161e-002
9.584479e+002, 1.677065e-002
9.603764e+002, 1.662298e-002
9.623049e+002, 1.638426e-002
9.642333e+002, 1.635275e-002
9.661618e+002, 1.644527e-002
9.680903e+002, 1.642870e-002
9.700187e+002, 1.637280e-002
9.719472e+002, 1.627737e-002
9.738757e+002, 1.610320e-002
9.758041e+002, 1.604636e-002
9.777326e+002, 1.609008e-002
9.796611e+002, 1.622058e-002
9.815895e+002, 1.637416e-002
9.835180e+002, 1.645367e-002
9.854465e+002, 1.646778e-002
9.873749e+002, 1.646217e-002
9.893034e+002, 1.643131e-002
9.912319e+002, 1.637544e-002
9.931603e+002, 1.638754e-002
9.950888e+002, 1.642258e-002
9.970173e+002, 1.649741e-002
9.989457e+002, 1.651677e-002
1.000874e+003, 1.654153e-002
1.002803e+003, 1.644837e-002
1.004731e+003, 1.630551e-002
1.006660e+003, 1.624887e-002
1.008588e+003, 1.632624e-002
1.010517e+003, 1.644987e-002
1.012445e+003, 1.642057e-002
1.014373e+003, 1.636742e-002
1.016302e+003, 1.651151e-002
1.018230e+003, 1.668278e-002
1.020159e+003, 1.678297e-002
1.022087e+003, 1.658226e-002
1.024016e+003, 1.657766e-002
1.025944e+003, 1.682568e-002
1.027873e+003, 1.690421e-002
1.029801e+003, 1.690403e-002
1.031730e+003, 1.702410e-002
1.033658e+003, 1.698018e-002
1.035587e+003, 1.684758e-002
1.037515e+003, 1.683627e-002
1.039443e+003, 1.687103e-002
1.041372e+003, 1.686898e-002
1.043300e+003, 1.686327e-002
1.045229e+003, 1.697291e-002
1.047157e+003, 1.717030e-002
1.049086e+003, 1.740690e-002
1.051014e+003, 1.746875e-002
1.052943e+003, 1.761602e-002
1.054871e+003, 1.780701e-002
1.056800e+003, 1.786447e-002
1.058728e+003, 1.786213e-002
1.060657e+003, 1.780622e-002
1.062585e+003, 1.769948e-002
1.064514e+003, 1.760909e-002
1.066442e+003, 1.767168e-002
1.068370e+003, 1.765498e-002
1.070299e+003, 1.751426e-002
1.072227e+003, 1.738972e-002
1.074156e+003, 1.732834e-002
1.076084e+003, 1.724054e-002
1.078013e+003, 1.715900e-002
1.079941e+003, 1.720098e-002
1.081870e+003, 1.720043e-002
1.083798e+003, 1.724837e-002
1.085727e+003, 1.723182e-002
1.087655e+003, 1.722550e-002
1.089584e+003, 1.720662e-002
1.091512e+003, 1.719012e-002
1.093441e+003, 1.727177e-002
1.095369e+003, 1.744754e-002
1.097297e+003, 1.750953e-002
1.099226e+003, 1.762940e-002
1.101154e+003, 1.772860e-002
