##NAMES=Bastnasite-(Ce)
##RRUFFID=R050409
##IDEAL CHEMISTRY=CeCO_3_F
##LOCALITY=Machni, near Warsak Dam, Zagi Mountain, North-West Frontier Province, Pakistan
##OWNER=RRUFF
##SOURCE=G.R. Rossman
##DESCRIPTION=Yellowish brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050409
##MEASURED CHEMISTRY=(Ce_0.54_(La,Pr)_0.25_Nd_0.21_)_Σ=1_CO_3_F_1.00_
1282.430, 0.1748721
1284.359, 0.1780848
1286.287, 0.1811582
1288.216, 0.1842986
1290.144, 0.1879168
1292.073, 0.1919241
1294.001, 0.1961221
1295.930, 0.2003479
1297.858, 0.2047678
1299.787, 0.2095250
1301.715, 0.2145056
1303.644, 0.2198161
1305.572, 0.2254530
1307.500, 0.2312533
1309.429, 0.2370963
1311.357, 0.2434725
1313.286, 0.2500389
1315.214, 0.2562998
1317.143, 0.2625588
1319.071, 0.2687251
1321.000, 0.2751370
1322.928, 0.2820591
1324.857, 0.2883756
1326.785, 0.2946171
1328.714, 0.3014804
1330.642, 0.3089850
1332.571, 0.3167551
1334.499, 0.3246715
1336.427, 0.3330428
1338.356, 0.3417066
1340.284, 0.3502471
1342.213, 0.3588051
1344.141, 0.3677554
1346.070, 0.3769345
1347.998, 0.3864794
1349.927, 0.3965402
1351.855, 0.4071276
1353.784, 0.4171369
1355.712, 0.4278454
1357.641, 0.4391709
1359.569, 0.4505273
1361.498, 0.4621212
1363.426, 0.4739192
1365.354, 0.4863758
1367.283, 0.4993742
1369.211, 0.5126505
1371.140, 0.5261204
1373.068, 0.5398633
1374.997, 0.5541072
1376.925, 0.5683827
1378.854, 0.5824425
1380.782, 0.5964549
1382.711, 0.6099372
1384.639, 0.6225209
1386.568, 0.6341143
1388.496, 0.6457708
1390.424, 0.6587129
1392.353, 0.6724392
1394.281, 0.6869224
1396.210, 0.7011067
1398.138, 0.7117566
1400.067, 0.7199593
1401.995, 0.7294447
1403.924, 0.7394897
1405.852, 0.7489185
1407.781, 0.7574432
1409.709, 0.7646551
1411.638, 0.7696170
1413.566, 0.7730224
1415.495, 0.7739786
1417.423, 0.7731374
1419.351, 0.7705213
1421.280, 0.7663028
1423.208, 0.7609997
1425.137, 0.7543964
1427.065, 0.7460552
1428.994, 0.7378325
1430.922, 0.7298023
1432.851, 0.7206948
1434.779, 0.7099029
1436.708, 0.6974771
1438.636, 0.6805080
1440.565, 0.6578939
1442.493, 0.6308479
1444.422, 0.6013259
1446.350, 0.5710016
1448.278, 0.5416068
1450.207, 0.5129074
1452.135, 0.4842795
1454.064, 0.4571002
1455.992, 0.4331493
1457.921, 0.4134683
1459.849, 0.3979262
1461.778, 0.3834083
1463.706, 0.3681250
1465.635, 0.3519711
1467.563, 0.3354502
1469.492, 0.3192604
1471.420, 0.3034934
1473.349, 0.2885009
1475.277, 0.2742217
1477.205, 0.2601384
1479.134, 0.2469728
1481.062, 0.2345171
1482.991, 0.2223923
1484.919, 0.2108740
1486.848, 0.1997313
1488.776, 0.1886510
1490.705, 0.1782210
1492.633, 0.1687153
1494.562, 0.1598530
1496.490, 0.1518793
1498.419, 0.1445116
1500.347, 0.1378868
1502.276, 0.1324598
1504.204, 0.1280194
1506.132, 0.1239750
1508.061, 0.1198857
1509.989, 0.1157048
1511.918, 0.1117716
1513.846, 0.1077964
1515.775, 0.1042457
1517.703, 0.1011859
1519.632, 9.7971238E-02
1521.560, 9.4436631E-02
1523.489, 9.0639912E-02
1525.417, 8.7065794E-02
1527.346, 8.3099537E-02
1529.274, 7.8856394E-02
1531.203, 7.4763611E-02
1533.131, 7.0670120E-02
1535.059, 6.6490807E-02
1536.988, 6.2599517E-02
1538.916, 5.9205730E-02
1540.845, 5.5996101E-02
1542.773, 5.2783120E-02
1544.702, 4.9924191E-02
1546.630, 4.7064260E-02
1548.559, 4.4533730E-02
1550.487, 4.2561829E-02
1552.416, 4.0803678E-02
1554.344, 3.9464399E-02
1556.273, 3.8162731E-02
1558.201, 3.6686610E-02
1560.130, 3.5107031E-02
1562.058, 3.3966310E-02
1563.986, 3.2814119E-02
1565.915, 3.1579889E-02
1567.843, 3.0558990E-02
1569.772, 2.9544530E-02
1571.700, 2.8507050E-02
1573.629, 2.7372351E-02
1575.557, 2.6494659E-02
1577.486, 2.5682479E-02
1579.414, 2.4708770E-02
1581.343, 2.3474550E-02
1583.271, 2.2578411E-02
1585.200, 2.2155279E-02
1587.128, 2.1559181E-02
1589.057, 2.0864209E-02
1590.985, 2.0431541E-02
1592.913, 1.9919990E-02
1594.842, 1.9387349E-02
1596.770, 1.8814890E-02
1598.699, 1.8520590E-02
1600.627, 1.8193761E-02
1602.556, 1.7443409E-02
1604.484, 1.6701270E-02
1606.413, 1.6237071E-02
1608.341, 1.5479610E-02
1610.270, 1.5356840E-02
1612.198, 1.5225960E-02
1614.127, 1.4757010E-02
1616.055, 1.4365160E-02
1617.984, 1.4067360E-02
1619.912, 1.3825710E-02
1621.840, 1.3742650E-02
1623.769, 1.3476290E-02
1625.697, 1.3137690E-02
1627.626, 1.3176080E-02
1629.554, 1.3142400E-02
1631.483, 1.2980820E-02
1633.411, 1.2919710E-02
1635.340, 1.2779420E-02
1637.268, 1.2737440E-02
1639.197, 1.2282260E-02
1641.125, 1.2130200E-02
1643.054, 1.2461160E-02
1644.982, 1.2467580E-02
1646.911, 1.2450990E-02
1648.839, 1.2196720E-02
1650.767, 1.2188680E-02
1652.696, 1.2507940E-02
1654.624, 1.2500490E-02
1656.553, 1.2474350E-02
1658.481, 1.2160180E-02
1660.410, 1.2061360E-02
1662.338, 1.2338660E-02
1664.267, 1.1951610E-02
1666.195, 1.1670010E-02
1668.124, 1.1949700E-02
1670.052, 1.2311820E-02
1671.981, 1.2593510E-02
1673.909, 1.2581290E-02
1675.838, 1.2231470E-02
1677.766, 1.1877830E-02
1679.694, 1.1716200E-02
1681.623, 1.1955320E-02
1683.551, 1.1886300E-02
1685.480, 1.1671540E-02
1687.408, 1.1282570E-02
1689.337, 1.0775600E-02
1691.265, 1.0232510E-02
1693.194, 1.0123810E-02
1695.122, 1.0623800E-02
1697.051, 1.0285530E-02
1698.979, 9.7726220E-03
1700.908, 1.0011500E-02
1702.836, 9.8901214E-03
1704.765, 9.3841124E-03
1706.693, 9.2839161E-03
1708.621, 8.7770969E-03
1710.550, 8.3665028E-03
1712.478, 8.3950441E-03
1714.407, 8.5695703E-03
1716.335, 8.6033139E-03
1718.264, 8.7225912E-03
1720.192, 8.6851530E-03
1722.121, 8.7937266E-03
1724.049, 9.2072440E-03
1725.978, 9.4082197E-03
1727.906, 9.0728709E-03
1729.835, 8.6067980E-03
1731.763, 8.7247640E-03
1733.692, 8.9073330E-03
1735.620, 8.6524533E-03
1737.548, 8.5290652E-03
1739.477, 8.2481829E-03
1741.405, 8.2804859E-03
1743.334, 8.9768041E-03
1745.262, 9.3176048E-03
1747.191, 9.3574971E-03
1749.119, 1.0024390E-02
1751.048, 1.0837170E-02
1752.976, 1.2133510E-02
1754.905, 1.3507410E-02
