##NAMES=Aphthitalite
##RRUFFID=R050651
##IDEAL CHEMISTRY=K_3_Na(S^6+^O_4_)_2_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless hexagonal crystals displaying P-3m1 space group symmetry, associated with halite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050651
7.366743e+002, 6.177245e-003
7.386027e+002, 6.508939e-003
7.405312e+002, 6.415026e-003
7.424597e+002, 6.135782e-003
7.443881e+002, 5.842941e-003
7.463166e+002, 5.825497e-003
7.482451e+002, 6.024566e-003
7.501735e+002, 6.516939e-003
7.521020e+002, 6.792024e-003
7.540305e+002, 6.475365e-003
7.559589e+002, 6.324168e-003
7.578874e+002, 6.900374e-003
7.598159e+002, 6.975396e-003
7.617443e+002, 6.817000e-003
7.636728e+002, 7.153832e-003
7.656013e+002, 7.558572e-003
7.675297e+002, 8.264127e-003
7.694582e+002, 9.800141e-003
7.713867e+002, 1.175081e-002
7.733151e+002, 1.333646e-002
7.752436e+002, 1.297230e-002
7.771721e+002, 1.143577e-002
7.791005e+002, 9.257673e-003
7.810290e+002, 7.724148e-003
7.829575e+002, 7.125373e-003
7.848859e+002, 6.992456e-003
7.868144e+002, 6.963231e-003
7.887429e+002, 6.822408e-003
7.906713e+002, 6.961938e-003
7.925998e+002, 6.697395e-003
7.945283e+002, 6.408645e-003
7.964567e+002, 6.915864e-003
7.983852e+002, 6.785636e-003
8.003137e+002, 6.589057e-003
8.022421e+002, 6.828717e-003
8.041706e+002, 6.892283e-003
8.060991e+002, 6.625584e-003
8.080275e+002, 6.922307e-003
8.099560e+002, 7.372664e-003
8.118845e+002, 7.356100e-003
8.138129e+002, 7.247191e-003
8.157414e+002, 7.227204e-003
8.176699e+002, 7.342188e-003
8.195983e+002, 7.482869e-003
8.215268e+002, 7.403110e-003
8.234553e+002, 7.624234e-003
8.253837e+002, 7.872202e-003
8.273122e+002, 8.068962e-003
8.292407e+002, 8.277525e-003
8.311691e+002, 8.563825e-003
8.330976e+002, 8.384812e-003
8.350261e+002, 8.348440e-003
8.369545e+002, 8.453658e-003
8.388830e+002, 8.427221e-003
8.408115e+002, 8.286708e-003
8.427399e+002, 8.241449e-003
8.446684e+002, 8.378893e-003
8.465969e+002, 8.716780e-003
8.485253e+002, 8.520115e-003
8.504538e+002, 8.246139e-003
8.523823e+002, 8.571184e-003
8.543107e+002, 8.788756e-003
8.562392e+002, 8.628436e-003
8.581677e+002, 8.736641e-003
8.600961e+002, 8.819412e-003
8.620246e+002, 8.664285e-003
8.639531e+002, 8.638439e-003
8.658815e+002, 9.051505e-003
8.678100e+002, 8.967292e-003
8.697385e+002, 8.945757e-003
8.716669e+002, 9.137189e-003
8.735954e+002, 9.076403e-003
8.755239e+002, 9.253142e-003
8.774523e+002, 9.584148e-003
8.793808e+002, 9.540946e-003
8.813093e+002, 9.496306e-003
8.832377e+002, 9.613818e-003
8.851662e+002, 9.570970e-003
8.870947e+002, 9.922715e-003
8.890231e+002, 1.020102e-002
8.909516e+002, 1.003814e-002
8.928801e+002, 9.908599e-003
8.948085e+002, 9.890372e-003
8.967370e+002, 1.031214e-002
8.986655e+002, 1.071014e-002
9.005939e+002, 1.058238e-002
9.025224e+002, 1.040216e-002
9.044509e+002, 1.040155e-002
9.063793e+002, 1.042413e-002
9.083078e+002, 1.088427e-002
9.102363e+002, 1.119591e-002
9.121647e+002, 1.114190e-002
9.140932e+002, 1.102627e-002
9.160217e+002, 1.104526e-002
9.179501e+002, 1.146667e-002
9.198786e+002, 1.170943e-002
9.218071e+002, 1.169303e-002
9.237355e+002, 1.181391e-002
9.256640e+002, 1.223238e-002
9.275925e+002, 1.277722e-002
9.295209e+002, 1.288305e-002
9.314494e+002, 1.285934e-002
9.333779e+002, 1.296553e-002
9.353063e+002, 1.326288e-002
9.372348e+002, 1.340771e-002
9.391633e+002, 1.385688e-002
9.410917e+002, 1.424312e-002
9.430202e+002, 1.427975e-002
9.449487e+002, 1.451848e-002
9.468771e+002, 1.516764e-002
9.488056e+002, 1.558436e-002
9.507341e+002, 1.582443e-002
9.526625e+002, 1.593262e-002
9.545910e+002, 1.600320e-002
9.565195e+002, 1.626266e-002
9.584479e+002, 1.687633e-002
9.603764e+002, 1.756043e-002
9.623049e+002, 1.796869e-002
9.642333e+002, 1.812849e-002
9.661618e+002, 1.851360e-002
9.680903e+002, 1.899474e-002
9.700187e+002, 1.987659e-002
9.719472e+002, 2.062094e-002
