##NAMES=Schreibersite
##RRUFFID=R070239
##IDEAL CHEMISTRY=(Fe,Ni,Cr)_3_P
##LOCALITY=Sao Juliao de Moreira meteorite, Ponte de Lima, Viana do Castelo district, Portugal
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silvery fragments with slightly brassy luster, co-type specimen
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070239
4.879021e+002, 1.037666e-001
4.898305e+002, 1.036952e-001
4.917590e+002, 1.032303e-001
4.936875e+002, 1.032971e-001
4.956159e+002, 1.025819e-001
4.975444e+002, 1.028065e-001
4.994729e+002, 1.030537e-001
5.014013e+002, 1.032891e-001
5.033298e+002, 1.033624e-001
5.052583e+002, 1.034242e-001
5.071867e+002, 1.034559e-001
5.091152e+002, 1.024431e-001
5.110437e+002, 1.021127e-001
5.129721e+002, 1.025074e-001
5.149006e+002, 1.029539e-001
5.168290e+002, 1.034500e-001
5.187575e+002, 1.029719e-001
5.206860e+002, 1.026357e-001
5.226144e+002, 1.030511e-001
5.245429e+002, 1.036662e-001
5.264714e+002, 1.034454e-001
5.283998e+002, 1.032202e-001
5.303283e+002, 1.032767e-001
5.322568e+002, 1.032085e-001
5.341852e+002, 1.032729e-001
5.361137e+002, 1.033147e-001
5.380422e+002, 1.031200e-001
5.399706e+002, 1.039378e-001
5.418991e+002, 1.046119e-001
5.438276e+002, 1.043996e-001
5.457560e+002, 1.040314e-001
5.476845e+002, 1.040806e-001
5.496130e+002, 1.040487e-001
5.515414e+002, 1.043838e-001
5.534699e+002, 1.047072e-001
5.553984e+002, 1.043809e-001
5.573268e+002, 1.043411e-001
5.592553e+002, 1.043739e-001
5.611838e+002, 1.047955e-001
5.631122e+002, 1.049530e-001
5.650407e+002, 1.050707e-001
5.669692e+002, 1.053296e-001
5.688976e+002, 1.049638e-001
5.708261e+002, 1.051826e-001
5.727546e+002, 1.057505e-001
5.746830e+002, 1.058432e-001
5.766115e+002, 1.052204e-001
5.785400e+002, 1.053754e-001
5.804684e+002, 1.056955e-001
5.823969e+002, 1.056534e-001
5.843254e+002, 1.056269e-001
5.862538e+002, 1.059057e-001
5.881823e+002, 1.057027e-001
5.901108e+002, 1.056943e-001
5.920392e+002, 1.063638e-001
5.939677e+002, 1.067640e-001
5.958962e+002, 1.066589e-001
5.978246e+002, 1.062734e-001
5.997531e+002, 1.061398e-001
6.016816e+002, 1.063232e-001
6.036100e+002, 1.064403e-001
6.055385e+002, 1.063983e-001
6.074670e+002, 1.066364e-001
6.093954e+002, 1.067916e-001
6.113239e+002, 1.067801e-001
6.132524e+002, 1.066600e-001
6.151808e+002, 1.070277e-001
6.171093e+002, 1.071343e-001
6.190378e+002, 1.069149e-001
6.209662e+002, 1.068293e-001
6.228947e+002, 1.068842e-001
6.248232e+002, 1.068401e-001
6.267516e+002, 1.068711e-001
6.286801e+002, 1.067434e-001
6.306086e+002, 1.066936e-001
6.325370e+002, 1.067370e-001
6.344655e+002, 1.068471e-001
6.363940e+002, 1.066812e-001
6.383224e+002, 1.066304e-001
6.402509e+002, 1.066212e-001
6.421794e+002, 1.065569e-001
6.441078e+002, 1.067277e-001
6.460363e+002, 1.069934e-001
6.479648e+002, 1.071336e-001
6.498932e+002, 1.069993e-001
6.518217e+002, 1.069219e-001
6.537502e+002, 1.069766e-001
6.556786e+002, 1.069964e-001
6.576071e+002, 1.070108e-001
6.595356e+002, 1.070189e-001
6.614641e+002, 1.070868e-001
6.633925e+002, 1.070568e-001
6.653210e+002, 1.069380e-001
6.672495e+002, 1.070919e-001
6.691779e+002, 1.071508e-001
6.711064e+002, 1.068509e-001
6.730349e+002, 1.069756e-001
6.749633e+002, 1.072780e-001
6.768918e+002, 1.071143e-001
6.788203e+002, 1.069167e-001
6.807487e+002, 1.071830e-001
6.826772e+002, 1.073805e-001
6.846057e+002, 1.071528e-001
6.865341e+002, 1.067471e-001
6.884626e+002, 1.064514e-001
6.903911e+002, 1.064625e-001
6.923195e+002, 1.066436e-001
6.942480e+002, 1.066109e-001
6.961765e+002, 1.065668e-001
6.981049e+002, 1.066107e-001
7.000334e+002, 1.066445e-001
7.019619e+002, 1.064206e-001
7.038903e+002, 1.063500e-001
7.058188e+002, 1.063435e-001
7.077473e+002, 1.062321e-001
7.096757e+002, 1.061793e-001
7.116042e+002, 1.064545e-001
7.135327e+002, 1.065700e-001
7.154611e+002, 1.063401e-001
7.173896e+002, 1.062971e-001
7.193181e+002, 1.062278e-001
7.212465e+002, 1.060665e-001
7.231750e+002, 1.060488e-001
7.251035e+002, 1.061138e-001
7.270319e+002, 1.060031e-001
7.289604e+002, 1.059271e-001
7.308889e+002, 1.059247e-001
7.328173e+002, 1.057749e-001
7.347458e+002, 1.057944e-001
7.366743e+002, 1.059390e-001
7.386027e+002, 1.060749e-001
7.405312e+002, 1.061377e-001
7.424597e+002, 1.060730e-001
7.443881e+002, 1.059535e-001
7.463166e+002, 1.059663e-001
7.482451e+002, 1.060041e-001
7.501735e+002, 1.060399e-001
7.521020e+002, 1.059943e-001
7.540305e+002, 1.058081e-001
7.559589e+002, 1.057727e-001
7.578874e+002, 1.057891e-001
7.598159e+002, 1.058536e-001
7.617443e+002, 1.057433e-001
7.636728e+002, 1.058012e-001
7.656013e+002, 1.059705e-001
7.675297e+002, 1.059038e-001
7.694582e+002, 1.056941e-001
7.713867e+002, 1.057333e-001
7.733151e+002, 1.059054e-001
7.752436e+002, 1.058151e-001
7.771721e+002, 1.058987e-001
7.791005e+002, 1.060512e-001
7.810290e+002, 1.060112e-001
7.829575e+002, 1.061232e-001
7.848859e+002, 1.061181e-001
7.868144e+002, 1.060799e-001
7.887429e+002, 1.060465e-001
7.906713e+002, 1.062591e-001
7.925998e+002, 1.062212e-001
7.945283e+002, 1.058495e-001
7.964567e+002, 1.061124e-001
7.983852e+002, 1.063193e-001
8.003137e+002, 1.062805e-001
8.022421e+002, 1.062193e-001
8.041706e+002, 1.062397e-001
8.060991e+002, 1.063025e-001
8.080275e+002, 1.062390e-001
8.099560e+002, 1.063745e-001
8.118845e+002, 1.064914e-001
8.138129e+002, 1.062436e-001
8.157414e+002, 1.060994e-001
8.176699e+002, 1.063327e-001
8.195983e+002, 1.063630e-001
8.215268e+002, 1.063220e-001
8.234553e+002, 1.063254e-001
8.253837e+002, 1.063249e-001
8.273122e+002, 1.064199e-001
8.292407e+002, 1.064701e-001
8.311691e+002, 1.065672e-001
8.330976e+002, 1.064171e-001
8.350261e+002, 1.063991e-001
8.369545e+002, 1.064476e-001
8.388830e+002, 1.063403e-001
8.408115e+002, 1.063037e-001
8.427399e+002, 1.064619e-001
8.446684e+002, 1.065928e-001
8.465969e+002, 1.063434e-001
8.485253e+002, 1.061538e-001
8.504538e+002, 1.062782e-001
8.523823e+002, 1.064236e-001
8.543107e+002, 1.065994e-001
8.562392e+002, 1.065168e-001
8.581677e+002, 1.065779e-001
8.600961e+002, 1.066478e-001
8.620246e+002, 1.066546e-001
8.639531e+002, 1.065650e-001
8.658815e+002, 1.065667e-001
8.678100e+002, 1.066689e-001
8.697385e+002, 1.067042e-001
8.716669e+002, 1.066262e-001
8.735954e+002, 1.064832e-001
8.755239e+002, 1.065906e-001
8.774523e+002, 1.068047e-001
8.793808e+002, 1.067154e-001
8.813093e+002, 1.066179e-001
8.832377e+002, 1.067014e-001
8.851662e+002, 1.067571e-001
8.870947e+002, 1.068282e-001
8.890231e+002, 1.069923e-001
8.909516e+002, 1.069839e-001
8.928801e+002, 1.068729e-001
8.948085e+002, 1.068973e-001
8.967370e+002, 1.068803e-001
8.986655e+002, 1.069916e-001
9.005939e+002, 1.072190e-001
9.025224e+002, 1.073496e-001
9.044509e+002, 1.074803e-001
9.063793e+002, 1.074779e-001
9.083078e+002, 1.072308e-001
9.102363e+002, 1.071652e-001
9.121647e+002, 1.074047e-001
9.140932e+002, 1.074941e-001
9.160217e+002, 1.075391e-001
9.179501e+002, 1.075207e-001
9.198786e+002, 1.075364e-001
9.218071e+002, 1.075515e-001
9.237355e+002, 1.074998e-001
9.256640e+002, 1.075065e-001
9.275925e+002, 1.076468e-001
9.295209e+002, 1.077153e-001
9.314494e+002, 1.078064e-001
9.333779e+002, 1.077597e-001
9.353063e+002, 1.078027e-001
9.372348e+002, 1.078100e-001
9.391633e+002, 1.076894e-001
9.410917e+002, 1.078005e-001
9.430202e+002, 1.079994e-001
9.449487e+002, 1.080460e-001
9.468771e+002, 1.079657e-001
9.488056e+002, 1.079151e-001
9.507341e+002, 1.080113e-001
9.526625e+002, 1.080085e-001
9.545910e+002, 1.079460e-001
9.565195e+002, 1.080481e-001
9.584479e+002, 1.082193e-001
9.603764e+002, 1.080891e-001
9.623049e+002, 1.079402e-001
9.642333e+002, 1.081071e-001
9.661618e+002, 1.082822e-001
9.680903e+002, 1.083697e-001
9.700187e+002, 1.083222e-001
9.719472e+002, 1.082018e-001
9.738757e+002, 1.082674e-001
9.758041e+002, 1.083986e-001
9.777326e+002, 1.086127e-001
9.796611e+002, 1.086412e-001
9.815895e+002, 1.084953e-001
9.835180e+002, 1.085831e-001
9.854465e+002, 1.086973e-001
9.873749e+002, 1.086498e-001
9.893034e+002, 1.085721e-001
9.912319e+002, 1.085897e-001
9.931603e+002, 1.086473e-001
9.950888e+002, 1.086654e-001
9.970173e+002, 1.086144e-001
9.989457e+002, 1.085164e-001
1.000874e+003, 1.086161e-001
1.002803e+003, 1.087793e-001
1.004731e+003, 1.088351e-001
1.006660e+003, 1.086448e-001
1.008588e+003, 1.085246e-001
1.010517e+003, 1.085628e-001
1.012445e+003, 1.086500e-001
1.014373e+003, 1.085383e-001
1.016302e+003, 1.085066e-001
1.018230e+003, 1.085647e-001
1.020159e+003, 1.087263e-001
1.022087e+003, 1.087774e-001
1.024016e+003, 1.087817e-001
1.025944e+003, 1.086975e-001
1.027873e+003, 1.087399e-001
1.029801e+003, 1.088876e-001
1.031730e+003, 1.088274e-001
1.033658e+003, 1.087652e-001
1.035587e+003, 1.088440e-001
1.037515e+003, 1.088381e-001
1.039443e+003, 1.089250e-001
1.041372e+003, 1.088087e-001
1.043300e+003, 1.088026e-001
1.045229e+003, 1.088144e-001
1.047157e+003, 1.088518e-001
1.049086e+003, 1.087501e-001
1.051014e+003, 1.086182e-001
1.052943e+003, 1.086892e-001
1.054871e+003, 1.088651e-001
1.056800e+003, 1.089555e-001
1.058728e+003, 1.088764e-001
1.060657e+003, 1.087823e-001
1.062585e+003, 1.089291e-001
1.064514e+003, 1.090409e-001
1.066442e+003, 1.090502e-001
1.068370e+003, 1.088796e-001
1.070299e+003, 1.088223e-001
1.072227e+003, 1.089422e-001
1.074156e+003, 1.089114e-001
1.076084e+003, 1.088459e-001
1.078013e+003, 1.089385e-001
1.079941e+003, 1.089724e-001
1.081870e+003, 1.090172e-001
1.083798e+003, 1.090447e-001
1.085727e+003, 1.089223e-001
1.087655e+003, 1.089056e-001
1.089584e+003, 1.088268e-001
1.091512e+003, 1.086822e-001
1.093441e+003, 1.087377e-001
1.095369e+003, 1.088894e-001
1.097297e+003, 1.089893e-001
1.099226e+003, 1.088252e-001
1.101154e+003, 1.087745e-001
1.103083e+003, 1.088674e-001
1.105011e+003, 1.089056e-001
1.106940e+003, 1.089882e-001
1.108868e+003, 1.090478e-001
1.110797e+003, 1.089143e-001
1.112725e+003, 1.088461e-001
1.114654e+003, 1.088120e-001
1.116582e+003, 1.088449e-001
1.118511e+003, 1.090198e-001
1.120439e+003, 1.090452e-001
1.122368e+003, 1.090332e-001
1.124296e+003, 1.090124e-001
1.126224e+003, 1.088951e-001
1.128153e+003, 1.087698e-001
1.130081e+003, 1.087919e-001
1.132010e+003, 1.088582e-001
1.133938e+003, 1.088713e-001
1.135867e+003, 1.088714e-001
1.137795e+003, 1.090379e-001
1.139724e+003, 1.091727e-001
1.141652e+003, 1.093502e-001
1.143581e+003, 1.094206e-001
1.145509e+003, 1.093083e-001
1.147438e+003, 1.093866e-001
1.149366e+003, 1.094602e-001
1.151295e+003, 1.093729e-001
1.153223e+003, 1.092527e-001
1.155151e+003, 1.092985e-001
1.157080e+003, 1.092289e-001
1.159008e+003, 1.090379e-001
1.160937e+003, 1.089115e-001
1.162865e+003, 1.089463e-001
1.164794e+003, 1.090567e-001
1.166722e+003, 1.090719e-001
1.168651e+003, 1.090483e-001
1.170579e+003, 1.090290e-001
1.172508e+003, 1.089178e-001
1.174436e+003, 1.088768e-001
1.176365e+003, 1.088160e-001
1.178293e+003, 1.087625e-001
1.180222e+003, 1.088250e-001
1.182150e+003, 1.090526e-001
1.184078e+003, 1.092002e-001
1.186007e+003, 1.092026e-001
1.187935e+003, 1.092456e-001
1.189864e+003, 1.092872e-001
1.191792e+003, 1.093922e-001
1.193721e+003, 1.095330e-001
1.195649e+003, 1.095772e-001
1.197578e+003, 1.095524e-001
1.199506e+003, 1.095503e-001
1.201435e+003, 1.096001e-001
1.203363e+003, 1.095332e-001
1.205292e+003, 1.095396e-001
1.207220e+003, 1.096299e-001
1.209149e+003, 1.096141e-001
1.211077e+003, 1.096134e-001
1.213005e+003, 1.096210e-001
1.214934e+003, 1.095384e-001
1.216862e+003, 1.095860e-001
1.218791e+003, 1.097545e-001
1.220719e+003, 1.097826e-001
1.222648e+003, 1.097266e-001
1.224576e+003, 1.096725e-001
1.226505e+003, 1.097045e-001
1.228433e+003, 1.097033e-001
1.230362e+003, 1.096341e-001
1.232290e+003, 1.095138e-001
1.234219e+003, 1.095539e-001
1.236147e+003, 1.096985e-001
1.238076e+003, 1.097754e-001
1.240004e+003, 1.097260e-001
1.241932e+003, 1.098050e-001
1.243861e+003, 1.099187e-001
1.245789e+003, 1.098931e-001
1.247718e+003, 1.097946e-001
1.249646e+003, 1.098142e-001
1.251575e+003, 1.099810e-001
1.253503e+003, 1.098658e-001
1.255432e+003, 1.097581e-001
1.257360e+003, 1.096880e-001
1.259289e+003, 1.097027e-001
1.261217e+003, 1.097595e-001
1.263146e+003, 1.098217e-001
1.265074e+003, 1.099121e-001
1.267003e+003, 1.099981e-001
1.268931e+003, 1.099824e-001
1.270859e+003, 1.099467e-001
1.272788e+003, 1.100076e-001
1.274716e+003, 1.101811e-001
1.276645e+003, 1.101715e-001
1.278573e+003, 1.101129e-001
1.280502e+003, 1.101839e-001
1.282430e+003, 1.103019e-001
1.284359e+003, 1.102847e-001
1.286287e+003, 1.102977e-001
1.288216e+003, 1.103288e-001
1.290144e+003, 1.105043e-001
1.292073e+003, 1.105647e-001
1.294001e+003, 1.104710e-001
1.295930e+003, 1.104327e-001
1.297858e+003, 1.105001e-001
1.299786e+003, 1.105572e-001
1.301715e+003, 1.106580e-001
1.303643e+003, 1.105588e-001
1.305572e+003, 1.105063e-001
1.307500e+003, 1.107925e-001
1.309429e+003, 1.108636e-001
1.311357e+003, 1.107119e-001
1.313286e+003, 1.108166e-001
1.315214e+003, 1.108783e-001
1.317143e+003, 1.109436e-001
1.319071e+003, 1.109202e-001
1.321000e+003, 1.109708e-001
1.322928e+003, 1.111062e-001
1.324857e+003, 1.110422e-001
1.326785e+003, 1.109278e-001
1.328714e+003, 1.111279e-001
1.330642e+003, 1.112280e-001
1.332570e+003, 1.111644e-001
1.334499e+003, 1.111481e-001
1.336427e+003, 1.111710e-001
1.338356e+003, 1.113113e-001
1.340284e+003, 1.113976e-001
1.342213e+003, 1.113086e-001
1.344141e+003, 1.112789e-001
1.346070e+003, 1.111336e-001
1.347998e+003, 1.112060e-001
1.349927e+003, 1.112481e-001
1.351855e+003, 1.112409e-001
1.353784e+003, 1.113365e-001
1.355712e+003, 1.113641e-001
1.357641e+003, 1.113293e-001
1.359569e+003, 1.113194e-001
1.361497e+003, 1.114173e-001
1.363426e+003, 1.114536e-001
1.365354e+003, 1.113344e-001
1.367283e+003, 1.113358e-001
1.369211e+003, 1.114754e-001
1.371140e+003, 1.116206e-001
1.373068e+003, 1.116103e-001
1.374997e+003, 1.115750e-001
1.376925e+003, 1.117101e-001
1.378854e+003, 1.118940e-001
1.380782e+003, 1.118634e-001
1.382711e+003, 1.115659e-001
1.384639e+003, 1.114380e-001
1.386568e+003, 1.115902e-001
1.388496e+003, 1.116812e-001
1.390424e+003, 1.117705e-001
1.392353e+003, 1.118361e-001
1.394281e+003, 1.118668e-001
1.396210e+003, 1.118422e-001
1.398138e+003, 1.117569e-001
1.400067e+003, 1.118064e-001
1.401995e+003, 1.120047e-001
1.403924e+003, 1.120608e-001
1.405852e+003, 1.118850e-001
1.407781e+003, 1.118891e-001
1.409709e+003, 1.119714e-001
1.411638e+003, 1.121158e-001
1.413566e+003, 1.121388e-001
1.415495e+003, 1.121448e-001
1.417423e+003, 1.123450e-001
1.419351e+003, 1.124518e-001
1.421280e+003, 1.122708e-001
1.423208e+003, 1.122368e-001
1.425137e+003, 1.122369e-001
1.427065e+003, 1.122401e-001
1.428994e+003, 1.122882e-001
1.430922e+003, 1.123964e-001
1.432851e+003, 1.125117e-001
1.434779e+003, 1.126352e-001
1.436708e+003, 1.126946e-001
1.438636e+003, 1.125052e-001
1.440565e+003, 1.124060e-001
1.442493e+003, 1.124130e-001
1.444422e+003, 1.124659e-001
1.446350e+003, 1.124050e-001
1.448278e+003, 1.123052e-001
1.450207e+003, 1.123024e-001
1.452135e+003, 1.124387e-001
1.454064e+003, 1.125036e-001
1.455992e+003, 1.126568e-001
1.457921e+003, 1.125740e-001
1.459849e+003, 1.122475e-001
1.461778e+003, 1.121624e-001
1.463706e+003, 1.123103e-001
1.465635e+003, 1.124231e-001
1.467563e+003, 1.121847e-001
1.469492e+003, 1.122055e-001
1.471420e+003, 1.124898e-001
1.473349e+003, 1.126307e-001
1.475277e+003, 1.126795e-001
1.477205e+003, 1.126614e-001
1.479134e+003, 1.126541e-001
1.481062e+003, 1.126426e-001
1.482991e+003, 1.126877e-001
1.484919e+003, 1.126878e-001
1.486848e+003, 1.128008e-001
1.488776e+003, 1.128956e-001
1.490705e+003, 1.128920e-001
1.492633e+003, 1.128964e-001
1.494562e+003, 1.129990e-001
1.496490e+003, 1.131921e-001
1.498419e+003, 1.131801e-001
1.500347e+003, 1.130714e-001
1.502276e+003, 1.130738e-001
1.504204e+003, 1.133190e-001
1.506132e+003, 1.136197e-001
1.508061e+003, 1.134794e-001
1.509989e+003, 1.132521e-001
1.511918e+003, 1.132026e-001
1.513846e+003, 1.132013e-001
1.515775e+003, 1.133057e-001
1.517703e+003, 1.133414e-001
1.519632e+003, 1.134621e-001
1.521560e+003, 1.136725e-001
1.523489e+003, 1.136030e-001
1.525417e+003, 1.135304e-001
1.527346e+003, 1.135642e-001
1.529274e+003, 1.136589e-001
1.531203e+003, 1.135676e-001
1.533131e+003, 1.137298e-001
1.535059e+003, 1.138155e-001
1.536988e+003, 1.138140e-001
1.538916e+003, 1.140092e-001
1.540845e+003, 1.139930e-001
1.542773e+003, 1.137206e-001
1.544702e+003, 1.137277e-001
1.546630e+003, 1.136568e-001
1.548559e+003, 1.136361e-001
1.550487e+003, 1.137051e-001
1.552416e+003, 1.136881e-001
1.554344e+003, 1.138636e-001
1.556273e+003, 1.141234e-001
1.558201e+003, 1.144356e-001
1.560130e+003, 1.142811e-001
1.562058e+003, 1.139246e-001
1.563986e+003, 1.138286e-001
1.565915e+003, 1.138595e-001
1.567843e+003, 1.140184e-001
1.569772e+003, 1.140413e-001
1.571700e+003, 1.140060e-001
1.573629e+003, 1.140717e-001
1.575557e+003, 1.143484e-001
1.577486e+003, 1.143532e-001
1.579414e+003, 1.140515e-001
1.581343e+003, 1.139568e-001
1.583271e+003, 1.138919e-001
1.585200e+003, 1.138354e-001
1.587128e+003, 1.139508e-001
1.589057e+003, 1.141987e-001
1.590985e+003, 1.143202e-001
1.592913e+003, 1.143787e-001
1.594842e+003, 1.143300e-001
