##NAMES=Allanite-(Ce)
##RRUFFID=R080044
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Aquarius Range, Mohave County, Arizona, USA
##OWNER=RRUFF
##SOURCE=John Weber
##DESCRIPTION=Dark brown fragment from metamict sample R060418, after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080044
5.149006e+002, 2.009507e-001
5.168290e+002, 1.972222e-001
5.187575e+002, 1.935414e-001
5.206860e+002, 1.900268e-001
5.226144e+002, 1.872732e-001
5.245429e+002, 1.845382e-001
5.264714e+002, 1.809386e-001
5.283998e+002, 1.784271e-001
5.303283e+002, 1.768380e-001
5.322568e+002, 1.752282e-001
5.341852e+002, 1.738228e-001
5.361137e+002, 1.731258e-001
5.380422e+002, 1.720279e-001
5.399706e+002, 1.708781e-001
5.418991e+002, 1.703234e-001
5.438276e+002, 1.702299e-001
5.457560e+002, 1.700292e-001
5.476845e+002, 1.699448e-001
5.496130e+002, 1.699495e-001
5.515414e+002, 1.698214e-001
5.534699e+002, 1.697669e-001
5.553984e+002, 1.695761e-001
5.573268e+002, 1.686386e-001
5.592553e+002, 1.677849e-001
5.611838e+002, 1.667849e-001
5.631122e+002, 1.657874e-001
5.650407e+002, 1.647845e-001
5.669692e+002, 1.635128e-001
5.688976e+002, 1.619617e-001
5.708261e+002, 1.608553e-001
5.727546e+002, 1.600798e-001
5.746830e+002, 1.592581e-001
5.766115e+002, 1.586310e-001
5.785400e+002, 1.583907e-001
5.804684e+002, 1.583776e-001
5.823969e+002, 1.586854e-001
5.843254e+002, 1.593773e-001
5.862538e+002, 1.603121e-001
5.881823e+002, 1.613125e-001
5.901108e+002, 1.622389e-001
5.920392e+002, 1.632396e-001
5.939677e+002, 1.640974e-001
5.958962e+002, 1.649957e-001
5.978246e+002, 1.660958e-001
5.997531e+002, 1.669940e-001
6.016816e+002, 1.675513e-001
6.036100e+002, 1.681892e-001
6.055385e+002, 1.688896e-001
6.074670e+002, 1.696384e-001
6.093954e+002, 1.699717e-001
6.113239e+002, 1.703257e-001
6.132524e+002, 1.707827e-001
6.151808e+002, 1.708139e-001
6.171093e+002, 1.702057e-001
6.190378e+002, 1.692767e-001
6.209662e+002, 1.682041e-001
6.228947e+002, 1.665864e-001
6.248232e+002, 1.648390e-001
6.267516e+002, 1.635364e-001
6.286801e+002, 1.624818e-001
6.306086e+002, 1.622615e-001
6.325370e+002, 1.630353e-001
6.344655e+002, 1.643609e-001
6.363940e+002, 1.656033e-001
6.383224e+002, 1.662791e-001
6.402509e+002, 1.665326e-001
6.421794e+002, 1.663832e-001
6.441078e+002, 1.661893e-001
6.460363e+002, 1.657955e-001
6.479648e+002, 1.651242e-001
6.498932e+002, 1.643658e-001
6.518217e+002, 1.633534e-001
6.537502e+002, 1.622398e-001
6.556786e+002, 1.613058e-001
6.576071e+002, 1.604286e-001
6.595356e+002, 1.593383e-001
6.614641e+002, 1.583377e-001
6.633925e+002, 1.574738e-001
6.653210e+002, 1.565591e-001
6.672495e+002, 1.558474e-001
6.691779e+002, 1.548652e-001
6.711064e+002, 1.539378e-001
6.730349e+002, 1.532508e-001
6.749633e+002, 1.525174e-001
6.768918e+002, 1.512324e-001
6.788203e+002, 1.497042e-001
6.807487e+002, 1.480960e-001
6.826772e+002, 1.464719e-001
6.846057e+002, 1.447812e-001
6.865341e+002, 1.431480e-001
6.884626e+002, 1.416881e-001
6.903911e+002, 1.403060e-001
6.923195e+002, 1.390166e-001
6.942480e+002, 1.377565e-001
6.961765e+002, 1.364691e-001
6.981049e+002, 1.352518e-001
7.000334e+002, 1.343334e-001
7.019619e+002, 1.334235e-001
7.038903e+002, 1.324246e-001
7.058188e+002, 1.312668e-001
7.077473e+002, 1.299177e-001
7.096757e+002, 1.285059e-001
7.116042e+002, 1.273372e-001
7.135327e+002, 1.260106e-001
7.154611e+002, 1.245214e-001
7.173896e+002, 1.231835e-001
7.193181e+002, 1.217500e-001
7.212465e+002, 1.199961e-001
7.231750e+002, 1.184822e-001
7.251035e+002, 1.169108e-001
7.270319e+002, 1.152813e-001
7.289604e+002, 1.138343e-001
7.308889e+002, 1.124026e-001
7.328173e+002, 1.109607e-001
7.347458e+002, 1.096431e-001
7.366743e+002, 1.086360e-001
7.386027e+002, 1.076762e-001
7.405312e+002, 1.069004e-001
7.424597e+002, 1.061085e-001
7.443881e+002, 1.054239e-001
7.463166e+002, 1.049996e-001
7.482451e+002, 1.043846e-001
7.501735e+002, 1.037257e-001
7.521020e+002, 1.031855e-001
7.540305e+002, 1.025003e-001
7.559589e+002, 1.018635e-001
7.578874e+002, 1.013800e-001
7.598159e+002, 1.010150e-001
7.617443e+002, 1.007951e-001
7.636728e+002, 1.005980e-001
7.656013e+002, 1.002845e-001
7.675297e+002, 9.989855e-002
7.694582e+002, 9.985398e-002
7.713867e+002, 9.992000e-002
7.733151e+002, 9.987854e-002
7.752436e+002, 1.000590e-001
7.771721e+002, 1.003905e-001
7.791005e+002, 1.005838e-001
7.810290e+002, 1.008512e-001
7.829575e+002, 1.012200e-001
7.848859e+002, 1.016920e-001
7.868144e+002, 1.024056e-001
7.887429e+002, 1.033818e-001
7.906713e+002, 1.044787e-001
7.925998e+002, 1.059413e-001
7.945283e+002, 1.077281e-001
7.964567e+002, 1.096740e-001
7.983852e+002, 1.117158e-001
8.003137e+002, 1.138431e-001
8.022421e+002, 1.162690e-001
8.041706e+002, 1.190511e-001
8.060991e+002, 1.220434e-001
8.080275e+002, 1.253302e-001
8.099560e+002, 1.289136e-001
8.118845e+002, 1.327737e-001
8.138129e+002, 1.366709e-001
8.157414e+002, 1.408922e-001
8.176699e+002, 1.453486e-001
8.195983e+002, 1.495090e-001
8.215268e+002, 1.536967e-001
8.234553e+002, 1.577893e-001
8.253837e+002, 1.615288e-001
8.273122e+002, 1.649351e-001
8.292407e+002, 1.680989e-001
8.311691e+002, 1.710847e-001
8.330976e+002, 1.736986e-001
8.350261e+002, 1.760288e-001
8.369545e+002, 1.781534e-001
8.388830e+002, 1.801009e-001
8.408115e+002, 1.816125e-001
8.427399e+002, 1.828716e-001
8.446684e+002, 1.842069e-001
8.465969e+002, 1.854354e-001
8.485253e+002, 1.864689e-001
8.504538e+002, 1.876614e-001
8.523823e+002, 1.892690e-001
8.543107e+002, 1.911504e-001
8.562392e+002, 1.930745e-001
8.581677e+002, 1.953551e-001
8.600961e+002, 1.979846e-001
8.620246e+002, 2.006051e-001
8.639531e+002, 2.035463e-001
8.658815e+002, 2.065969e-001
8.678100e+002, 2.093598e-001
8.697385e+002, 2.119983e-001
8.716669e+002, 2.143845e-001
8.735954e+002, 2.165066e-001
8.755239e+002, 2.180655e-001
8.774523e+002, 2.191440e-001
8.793808e+002, 2.198462e-001
8.813093e+002, 2.201652e-001
8.832377e+002, 2.202242e-001
8.851662e+002, 2.197524e-001
8.870947e+002, 2.187592e-001
8.890231e+002, 2.176517e-001
8.909516e+002, 2.161690e-001
8.928801e+002, 2.143155e-001
8.948085e+002, 2.120508e-001
8.967370e+002, 2.098697e-001
8.986655e+002, 2.075852e-001
9.005939e+002, 2.056122e-001
9.025224e+002, 2.039459e-001
9.044509e+002, 2.026143e-001
9.063793e+002, 2.017452e-001
9.083078e+002, 2.010311e-001
9.102363e+002, 2.006871e-001
9.121647e+002, 2.011209e-001
9.140932e+002, 2.019040e-001
9.160217e+002, 2.027802e-001
9.179501e+002, 2.039049e-001
9.198786e+002, 2.053022e-001
9.218071e+002, 2.068250e-001
9.237355e+002, 2.084923e-001
9.256640e+002, 2.101603e-001
9.275925e+002, 2.119151e-001
9.295209e+002, 2.137284e-001
9.314494e+002, 2.151535e-001
9.333779e+002, 2.161728e-001
9.353063e+002, 2.169812e-001
9.372348e+002, 2.173596e-001
9.391633e+002, 2.171178e-001
9.410917e+002, 2.162313e-001
9.430202e+002, 2.148647e-001
9.449487e+002, 2.127156e-001
9.468771e+002, 2.100536e-001
9.488056e+002, 2.070574e-001
9.507341e+002, 2.038358e-001
9.526625e+002, 2.001065e-001
9.545910e+002, 1.960768e-001
9.565195e+002, 1.922555e-001
9.584479e+002, 1.885774e-001
9.603764e+002, 1.847237e-001
9.623049e+002, 1.809117e-001
9.642333e+002, 1.774034e-001
9.661618e+002, 1.740010e-001
9.680903e+002, 1.706842e-001
9.700187e+002, 1.677543e-001
9.719472e+002, 1.650898e-001
9.738757e+002, 1.624994e-001
9.758041e+002, 1.600819e-001
9.777326e+002, 1.579547e-001
9.796611e+002, 1.559791e-001
9.815895e+002, 1.542533e-001
9.835180e+002, 1.528018e-001
9.854465e+002, 1.514241e-001
9.873749e+002, 1.500618e-001
9.893034e+002, 1.488726e-001
9.912319e+002, 1.477516e-001
9.931603e+002, 1.466202e-001
9.950888e+002, 1.456312e-001
9.970173e+002, 1.447650e-001
9.989457e+002, 1.436619e-001
1.000874e+003, 1.425988e-001
1.002803e+003, 1.417213e-001
