##NAMES=Margarosanite
##RRUFFID=R120111
##IDEAL CHEMISTRY=Ca_2_Pb^2+^Si_3_O_9_
##LOCALITY=Parker shaft, Franklin, New Jersey, USA
##OWNER=RRUFF
##SOURCE=Caltech  
##DESCRIPTION=Pearly, colorless cleavages
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120111
7.559589e+002, 6.865875e-002
7.578874e+002, 5.543227e-002
7.598159e+002, 4.514563e-002
7.617443e+002, 3.865784e-002
7.636728e+002, 3.513597e-002
7.656013e+002, 3.265392e-002
7.675297e+002, 3.165210e-002
7.694582e+002, 3.164063e-002
7.713867e+002, 3.172383e-002
7.733151e+002, 3.218124e-002
7.752436e+002, 3.302114e-002
7.771721e+002, 3.392996e-002
7.791005e+002, 3.532715e-002
7.810290e+002, 3.663154e-002
7.829575e+002, 3.793578e-002
7.848859e+002, 3.928572e-002
7.868144e+002, 4.083505e-002
7.887429e+002, 4.273005e-002
7.906713e+002, 4.496976e-002
7.925998e+002, 4.679628e-002
7.945283e+002, 4.907584e-002
7.964567e+002, 5.172529e-002
7.983852e+002, 5.419125e-002
8.003137e+002, 5.664589e-002
8.022421e+002, 5.867985e-002
8.041706e+002, 6.109872e-002
8.060991e+002, 6.336518e-002
8.080275e+002, 6.515389e-002
8.099560e+002, 6.724985e-002
8.118845e+002, 6.950450e-002
8.138129e+002, 7.186209e-002
8.157414e+002, 7.426976e-002
8.176699e+002, 7.673977e-002
8.195983e+002, 7.902898e-002
8.215268e+002, 8.116484e-002
8.234553e+002, 8.322792e-002
8.253837e+002, 8.528689e-002
8.273122e+002, 8.677708e-002
8.292407e+002, 8.825057e-002
8.311691e+002, 9.055590e-002
8.330976e+002, 9.280022e-002
8.350261e+002, 9.470510e-002
8.369545e+002, 9.693009e-002
8.388830e+002, 9.973041e-002
8.408115e+002, 1.024596e-001
8.427399e+002, 1.059904e-001
8.446684e+002, 1.104027e-001
8.465969e+002, 1.154609e-001
8.485253e+002, 1.206357e-001
8.504538e+002, 1.258703e-001
8.523823e+002, 1.305759e-001
8.543107e+002, 1.343495e-001
8.562392e+002, 1.378132e-001
8.581677e+002, 1.427848e-001
8.600961e+002, 1.490901e-001
8.620246e+002, 1.562791e-001
8.639531e+002, 1.638635e-001
8.658815e+002, 1.707000e-001
8.678100e+002, 1.767074e-001
8.697385e+002, 1.820977e-001
8.716669e+002, 1.879687e-001
8.735954e+002, 1.945444e-001
8.755239e+002, 2.014035e-001
