##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb^2+^_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
1901.468, 3.2287519E-02
1903.397, 3.3015989E-02
1905.325, 3.2763410E-02
1907.254, 3.1535052E-02
1909.182, 3.1803861E-02
1911.110, 3.2101341E-02
1913.039, 3.2390729E-02
1914.967, 3.2651938E-02
1916.896, 3.2929730E-02
1918.824, 3.3037610E-02
1920.753, 3.1892069E-02
1922.681, 3.2122090E-02
1924.610, 3.2708980E-02
1926.538, 3.2936212E-02
1928.467, 3.2630749E-02
1930.395, 3.2423802E-02
1932.324, 3.1810571E-02
1934.252, 3.2302350E-02
1936.181, 3.3080630E-02
1938.109, 3.1189710E-02
1940.037, 3.0809060E-02
1941.966, 3.1379391E-02
1943.894, 3.2367200E-02
1945.823, 3.2425299E-02
1947.751, 3.2551661E-02
1949.680, 3.3173610E-02
1951.608, 3.2717269E-02
1953.537, 3.0683041E-02
1955.465, 3.0249519E-02
1957.394, 3.1340629E-02
1959.322, 3.1777158E-02
1961.251, 3.1884469E-02
1963.179, 3.1074010E-02
1965.108, 3.0546390E-02
1967.036, 3.1287089E-02
1968.964, 3.0966550E-02
1970.893, 3.1256460E-02
1972.821, 3.2718521E-02
1974.750, 3.2256711E-02
1976.678, 3.3843622E-02
1978.607, 3.3125449E-02
1980.535, 3.1841692E-02
1982.464, 3.3302400E-02
1984.392, 3.4519669E-02
1986.321, 3.3748589E-02
1988.249, 3.5019480E-02
1990.178, 3.5734400E-02
1992.106, 3.5272900E-02
1994.035, 3.3695199E-02
1995.963, 3.2172289E-02
1997.891, 3.1590231E-02
1999.820, 3.1112550E-02
2001.748, 3.2612190E-02
2003.677, 3.4117080E-02
2005.605, 3.4733690E-02
2007.534, 3.3698019E-02
2009.462, 3.0602250E-02
2011.391, 3.0101741E-02
2013.319, 3.2843228E-02
2015.248, 3.4761291E-02
2017.176, 3.4791488E-02
2019.105, 3.5208050E-02
2021.033, 3.3911191E-02
2022.962, 3.2296158E-02
2024.890, 3.3451229E-02
2026.818, 3.4246322E-02
2028.747, 3.5040371E-02
2030.675, 3.3920880E-02
2032.604, 3.2263629E-02
2034.532, 3.3449128E-02
2036.461, 3.5744071E-02
2038.389, 3.6449011E-02
2040.318, 3.6082741E-02
2042.246, 3.7289359E-02
2044.175, 3.9564151E-02
2046.103, 3.9113700E-02
2048.032, 3.8664449E-02
2049.960, 4.0571701E-02
2051.889, 3.9326608E-02
2053.817, 3.8515281E-02
2055.746, 3.8418461E-02
2057.674, 3.8480122E-02
2059.603, 3.9094530E-02
2061.531, 3.8410850E-02
2063.459, 3.7706211E-02
2065.388, 3.8548362E-02
2067.316, 3.9589580E-02
2069.245, 3.8933892E-02
2071.173, 3.8853731E-02
2073.102, 3.9924301E-02
2075.030, 3.9784659E-02
2076.959, 3.8955290E-02
2078.887, 3.8917739E-02
2080.816, 3.7429310E-02
2082.744, 3.8206391E-02
2084.673, 3.8734969E-02
2086.601, 3.8849160E-02
2088.530, 3.9930731E-02
2090.458, 4.0756200E-02
2092.386, 4.0971681E-02
2094.315, 4.2234849E-02
2096.243, 4.3248929E-02
2098.172, 4.3085270E-02
2100.100, 4.2229868E-02
2102.029, 4.1957140E-02
2103.957, 4.1870382E-02
2105.886, 4.1680150E-02
2107.814, 4.2591289E-02
2109.743, 4.2624619E-02
