##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb^2+^_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
2111.671, 4.2764962E-02
2113.600, 4.2919811E-02
2115.528, 4.1969080E-02
2117.457, 4.1894179E-02
2119.385, 4.2717770E-02
2121.313, 4.1437451E-02
2123.242, 4.0668871E-02
2125.170, 4.0907480E-02
2127.099, 3.9358519E-02
2129.027, 4.0054459E-02
2130.956, 4.1277569E-02
2132.884, 3.9968289E-02
2134.813, 3.9193649E-02
2136.741, 3.9035119E-02
2138.670, 3.9259732E-02
2140.598, 3.9877009E-02
2142.527, 3.8105492E-02
2144.455, 3.7099369E-02
2146.384, 3.7277490E-02
2148.312, 3.7194010E-02
2150.240, 4.0478330E-02
2152.169, 4.0871400E-02
2154.097, 3.7003499E-02
2156.026, 3.4348100E-02
2157.954, 3.4532368E-02
2159.883, 4.0973410E-02
2161.811, 4.8421379E-02
2163.740, 4.8056491E-02
2165.668, 4.4300821E-02
2167.597, 4.4974681E-02
2169.525, 4.4317260E-02
2171.454, 4.3375049E-02
2173.382, 4.2836379E-02
2175.311, 4.0913541E-02
2177.239, 4.0522080E-02
2179.167, 4.0670361E-02
2181.096, 4.4978362E-02
2183.024, 4.6040829E-02
2184.953, 4.5849580E-02
2186.881, 4.7635488E-02
2188.810, 4.6615940E-02
2190.738, 4.4832680E-02
2192.667, 4.7022741E-02
2194.595, 4.8090279E-02
2196.524, 4.4634212E-02
2198.452, 4.3493561E-02
2200.381, 4.3530948E-02
2202.309, 4.6091340E-02
2204.238, 4.6614282E-02
2206.166, 4.4397831E-02
2208.094, 4.5222919E-02
2210.023, 4.4935070E-02
2211.951, 4.3628160E-02
2213.880, 4.3378688E-02
2215.808, 4.4544820E-02
2217.737, 4.4413131E-02
2219.665, 4.3776769E-02
2221.594, 4.5243550E-02
2223.522, 4.6676248E-02
2225.451, 4.6943590E-02
2227.379, 4.6551362E-02
2229.308, 4.6116810E-02
2231.236, 4.7508720E-02
2233.165, 4.7206979E-02
2235.093, 4.6613969E-02
2237.021, 4.7099821E-02
2238.950, 4.7580179E-02
2240.878, 4.7293421E-02
2242.807, 4.7204781E-02
2244.735, 4.6834961E-02
2246.664, 4.7460690E-02
2248.592, 4.7844950E-02
2250.521, 4.7235720E-02
2252.449, 4.7866039E-02
2254.378, 4.7637761E-02
2256.306, 4.8380990E-02
2258.235, 4.9193360E-02
2260.163, 4.8869841E-02
2262.092, 4.8093058E-02
2264.020, 4.7444981E-02
2265.948, 4.7660951E-02
2267.877, 4.9088292E-02
2269.805, 5.0149370E-02
2271.734, 4.9444459E-02
2273.662, 4.9612612E-02
2275.591, 5.0575379E-02
2277.519, 5.0687980E-02
2279.448, 4.9987860E-02
2281.376, 5.0153151E-02
2283.305, 5.1128861E-02
2285.233, 5.0979849E-02
2287.162, 5.0679490E-02
2289.090, 5.0681271E-02
2291.019, 4.9818050E-02
2292.947, 5.0481848E-02
2294.875, 5.1762320E-02
2296.804, 5.1832668E-02
2298.732, 5.1247481E-02
2300.661, 5.0552480E-02
2302.589, 5.0248221E-02
2304.518, 5.0892930E-02
2306.446, 5.1057581E-02
2308.375, 5.1499560E-02
2310.303, 5.1494639E-02
2312.232, 5.1125351E-02
2314.160, 5.1087320E-02
2316.089, 5.2273370E-02
2318.017, 5.2482929E-02
2319.946, 5.2131630E-02
2321.874, 5.2768119E-02
2323.802, 5.3134419E-02
2325.731, 5.1901780E-02
2327.659, 5.0558452E-02
2329.588, 5.0961670E-02
2331.516, 5.1194720E-02
2333.445, 5.1431291E-02
2335.373, 5.1595271E-02
2337.302, 5.1422030E-02
2339.230, 5.0993871E-02
2341.159, 5.0688252E-02
2343.087, 5.1083740E-02
2345.016, 5.1825140E-02
2346.944, 5.0933510E-02
2348.873, 5.0592139E-02
2350.801, 5.1652171E-02
2352.729, 5.1903911E-02
2354.658, 5.1837701E-02
2356.586, 5.2311908E-02
2358.515, 5.2038372E-02
2360.443, 5.1625311E-02
2362.372, 5.2207559E-02
2364.300, 5.1883269E-02
2366.229, 5.1558681E-02
2368.157, 5.2586101E-02
2370.086, 5.2887481E-02
2372.014, 5.2440159E-02
2373.942, 5.1937591E-02
2375.871, 5.1687662E-02
2377.799, 5.1955860E-02
2379.728, 5.1672090E-02
2381.656, 5.2334689E-02
2383.585, 5.2703939E-02
2385.513, 5.2692279E-02
2387.442, 5.1929820E-02
2389.370, 5.1773190E-02
2391.299, 5.1130671E-02
2393.227, 5.0371371E-02
2395.156, 5.1105671E-02
2397.084, 5.2008130E-02
2399.012, 5.3301789E-02
2400.941, 5.3522911E-02
2402.869, 5.3072631E-02
2404.798, 5.3606961E-02
2406.726, 5.4100748E-02
2408.655, 5.3528290E-02
2410.583, 5.3516671E-02
2412.512, 5.3624190E-02
2414.440, 5.3006951E-02
2416.369, 5.3511228E-02
2418.297, 5.3734139E-02
2420.226, 5.3203471E-02
2422.154, 5.3550340E-02
2424.083, 5.2987520E-02
2426.011, 5.1837511E-02
2427.939, 5.1641531E-02
2429.868, 5.1385980E-02
2431.796, 5.2010041E-02
2433.725, 5.3198539E-02
2435.653, 5.3862538E-02
2437.582, 5.4508589E-02
2439.510, 5.3839400E-02
2441.439, 5.3168621E-02
2443.367, 5.3767979E-02
2445.296, 5.4934978E-02
2447.224, 5.5369209E-02
2449.153, 5.6029070E-02
2451.081, 5.5972181E-02
2453.010, 5.5774920E-02
2454.938, 5.5464908E-02
2456.866, 5.5217650E-02
2458.795, 5.5251472E-02
2460.723, 5.5076819E-02
2462.652, 5.4119471E-02
2464.580, 5.4084111E-02
2466.509, 5.3826049E-02
2468.437, 5.4871149E-02
2470.366, 5.5225760E-02
2472.294, 5.5700950E-02
2474.223, 5.5694669E-02
2476.151, 5.5192541E-02
2478.080, 5.5408839E-02
2480.008, 5.5389490E-02
2481.937, 5.5317000E-02
2483.865, 5.4714050E-02
2485.793, 5.3608079E-02
2487.722, 5.4137468E-02
2489.650, 5.5132169E-02
2491.579, 5.5669039E-02
2493.507, 5.5687770E-02
2495.436, 5.4950129E-02
2497.364, 5.5053711E-02
2499.293, 5.6108300E-02
2501.221, 5.5585429E-02
2503.150, 5.5492640E-02
2505.078, 5.5632789E-02
2507.007, 5.6102339E-02
2508.935, 5.6608781E-02
2510.864, 5.6747459E-02
2512.792, 5.6752719E-02
2514.720, 5.6145210E-02
2516.649, 5.6128230E-02
2518.577, 5.6515660E-02
2520.506, 5.6118160E-02
2522.434, 5.6201570E-02
2524.363, 5.5809941E-02
2526.291, 5.5383921E-02
2528.220, 5.5925440E-02
2530.148, 5.6980040E-02
2532.077, 5.5806492E-02
2534.005, 5.6149550E-02
2535.934, 5.7310000E-02
2537.862, 5.7115059E-02
2539.791, 5.7091460E-02
2541.719, 5.7866391E-02
2543.647, 5.7788361E-02
2545.576, 5.6919441E-02
2547.504, 5.7083972E-02
2549.433, 5.8058131E-02
2551.361, 5.8998089E-02
2553.290, 5.8816612E-02
2555.218, 5.9324119E-02
2557.147, 5.9736129E-02
2559.075, 6.0077310E-02
2561.004, 5.8939811E-02
2562.932, 5.8246080E-02
2564.861, 5.8733892E-02
2566.789, 5.9601549E-02
2568.718, 6.0505200E-02
2570.646, 6.0384098E-02
2572.574, 6.0881618E-02
2574.503, 6.1455891E-02
2576.431, 6.0764950E-02
2578.360, 6.0867351E-02
2580.288, 6.1119251E-02
2582.217, 6.0089849E-02
2584.145, 6.1037920E-02
2586.074, 6.2617190E-02
2588.002, 6.1711911E-02
2589.931, 6.0974240E-02
2591.859, 6.1508600E-02
2593.788, 6.1872382E-02
2595.716, 6.2229719E-02
2597.645, 6.2114339E-02
2599.573, 6.2972918E-02
2601.501, 6.4229473E-02
2603.430, 6.3720703E-02
2605.358, 6.2052999E-02
2607.287, 6.2381320E-02
2609.215, 6.3035198E-02
2611.144, 6.2699787E-02
2613.072, 6.3116290E-02
2615.001, 6.3421123E-02
2616.929, 6.2937237E-02
2618.858, 6.3002780E-02
2620.786, 6.4201817E-02
2622.715, 6.4753197E-02
2624.643, 6.4337797E-02
2626.572, 6.3963413E-02
2628.500, 6.4923063E-02
2630.428, 6.6093743E-02
2632.357, 6.6105217E-02
2634.285, 6.5746449E-02
2636.214, 6.5591253E-02
2638.142, 6.5025769E-02
2640.071, 6.5220430E-02
2641.999, 6.5915883E-02
2643.928, 6.6518143E-02
2645.856, 6.6477492E-02
2647.785, 6.5765053E-02
2649.713, 6.6481650E-02
2651.642, 6.7230813E-02
2653.570, 6.6697203E-02
2655.499, 6.6622518E-02
2657.427, 6.7052789E-02
2659.355, 6.6995181E-02
2661.284, 6.7130387E-02
2663.212, 6.7306317E-02
2665.141, 6.6893153E-02
2667.069, 6.6037357E-02
2668.998, 6.6066571E-02
2670.926, 6.6776127E-02
2672.855, 6.6971727E-02
2674.783, 6.6927388E-02
2676.712, 6.7511380E-02
2678.640, 6.8465889E-02
2680.569, 6.8985634E-02
2682.497, 6.9023371E-02
2684.426, 6.8913892E-02
2686.354, 6.8970487E-02
2688.282, 7.0065327E-02
2690.211, 7.0143327E-02
2692.139, 7.0305377E-02
2694.068, 7.0814177E-02
2695.996, 7.0014760E-02
2697.925, 6.9911577E-02
2699.853, 7.0749111E-02
2701.782, 7.0384927E-02
2703.710, 7.0464469E-02
2705.639, 7.1754150E-02
2707.567, 7.1754642E-02
2709.496, 7.2131798E-02
2711.424, 7.2099634E-02
2713.353, 7.2384097E-02
2715.281, 7.3526368E-02
2717.209, 7.3984228E-02
2719.138, 7.3249787E-02
2721.066, 7.3846370E-02
2722.995, 7.5146914E-02
2724.923, 7.5328253E-02
2726.852, 7.4710406E-02
2728.780, 7.4870579E-02
2730.709, 7.5197510E-02
2732.637, 7.4538633E-02
2734.566, 7.3762327E-02
2736.494, 7.5305812E-02
2738.423, 7.5381547E-02
2740.351, 7.4017711E-02
2742.280, 7.3303647E-02
2744.208, 7.3535956E-02
2746.136, 7.5154938E-02
2748.065, 7.6180652E-02
2749.993, 7.6781839E-02
2751.922, 7.7433817E-02
2753.850, 7.7762797E-02
2755.779, 7.8460597E-02
2757.707, 7.9713859E-02
2759.636, 7.9566143E-02
2761.564, 7.8557029E-02
2763.493, 7.8163773E-02
2765.421, 7.7971593E-02
2767.350, 7.8976728E-02
2769.278, 7.9192191E-02
2771.207, 7.9104401E-02
2773.135, 7.8984633E-02
2775.063, 7.9137929E-02
2776.992, 8.0005936E-02
2778.920, 8.0703497E-02
2780.849, 8.1044704E-02
2782.777, 8.0690853E-02
2784.706, 8.0985643E-02
2786.634, 8.1364438E-02
2788.563, 8.0429122E-02
2790.491, 8.0812208E-02
2792.420, 8.2488827E-02
2794.348, 8.2559213E-02
2796.277, 8.2009181E-02
2798.205, 8.2967907E-02
2800.134, 8.4174499E-02
2802.062, 8.4508471E-02
2803.990, 8.4347621E-02
2805.919, 8.5137174E-02
2807.847, 8.5886307E-02
2809.776, 8.6124830E-02
2811.704, 8.5804537E-02
2813.633, 8.5326619E-02
2815.561, 8.5059442E-02
2817.490, 8.5564718E-02
2819.418, 8.6099453E-02
2821.347, 8.6778022E-02
2823.275, 8.7233029E-02
2825.204, 8.7838717E-02
2827.132, 8.7810583E-02
2829.061, 8.7089770E-02
2830.989, 8.6723112E-02
2832.917, 8.7569647E-02
2834.846, 8.8503473E-02
2836.774, 8.8876553E-02
2838.703, 8.9131117E-02
2840.631, 8.7783538E-02
2842.560, 8.8657960E-02
2844.488, 8.8941678E-02
2846.417, 8.8129722E-02
2848.345, 8.8068150E-02
2850.274, 8.8586397E-02
2852.202, 8.9687362E-02
2854.131, 8.9636952E-02
2856.059, 9.0945497E-02
2857.988, 9.3819983E-02
2859.916, 9.4980963E-02
2861.844, 9.4627008E-02
2863.773, 9.5191807E-02
2865.701, 9.5882528E-02
2867.630, 9.5016778E-02
2869.558, 9.4279267E-02
2871.487, 9.6645117E-02
2873.415, 9.7316720E-02
2875.344, 9.6451573E-02
2877.272, 9.6977979E-02
2879.201, 9.6921027E-02
2881.129, 9.7402990E-02
2883.058, 9.7636133E-02
2884.986, 9.9179476E-02
2886.915, 9.9293351E-02
2888.843, 9.8877423E-02
2890.771, 0.1002448
2892.700, 0.1008030
2894.628, 0.1004951
2896.557, 0.1011991
2898.485, 0.1024898
2900.414, 0.1033469
2902.342, 0.1023293
2904.271, 0.1010047
2906.199, 0.1018653
2908.128, 0.1031125
2910.056, 0.1036427
2911.985, 0.1030627
2913.913, 0.1031047
2915.842, 0.1032618
2917.770, 0.1032786
2919.698, 0.1068361
2921.627, 0.1075107
2923.555, 0.1050858
2925.484, 0.1058662
2927.412, 0.1081652
2929.341, 0.1101293
2931.269, 0.1106671
2933.198, 0.1114400
2935.126, 0.1105477
2937.055, 0.1103015
2938.983, 0.1104403
2940.912, 0.1124957
2942.840, 0.1121952
2944.769, 0.1100433
2946.697, 0.1086442
2948.625, 0.1093057
2950.554, 0.1105438
2952.482, 0.1109887
2954.411, 0.1116982
2956.339, 0.1135245
2958.268, 0.1156673
2960.196, 0.1164259
2962.125, 0.1173558
2964.053, 0.1184583
2965.982, 0.1176934
2967.910, 0.1165630
2969.839, 0.1171137
2971.767, 0.1176164
2973.696, 0.1177376
2975.624, 0.1184861
2977.552, 0.1182759
2979.481, 0.1180198
2981.409, 0.1183251
2983.338, 0.1195741
2985.266, 0.1217164
2987.195, 0.1227153
2989.123, 0.1222469
2991.052, 0.1211558
2992.980, 0.1216692
2994.909, 0.1209357
2996.837, 0.1220258
2998.766, 0.1229490
3000.694, 0.1221188
3002.623, 0.1228218
3004.551, 0.1240063
3006.479, 0.1233192
3008.408, 0.1232922
3010.336, 0.1241495
3012.265, 0.1248071
3014.193, 0.1251908
3016.122, 0.1246923
3018.050, 0.1261729
3019.979, 0.1285401
3021.907, 0.1292446
3023.836, 0.1280370
3025.764, 0.1269597
3027.693, 0.1276993
3029.621, 0.1278151
3031.550, 0.1257374
3033.478, 0.1264062
3035.406, 0.1288347
3037.335, 0.1300004
3039.263, 0.1299050
3041.192, 0.1312285
3043.120, 0.1320418
3045.049, 0.1306906
3046.977, 0.1300178
3048.906, 0.1300938
3050.834, 0.1313342
3052.763, 0.1320662
3054.691, 0.1338656
3056.620, 0.1344322
3058.548, 0.1343057
3060.477, 0.1340150
3062.405, 0.1357432
3064.333, 0.1356941
3066.262, 0.1337285
3068.190, 0.1343764
3070.119, 0.1354833
3072.047, 0.1364326
3073.976, 0.1359483
3075.904, 0.1350055
3077.833, 0.1365212
3079.761, 0.1359802
3081.690, 0.1361354
3083.618, 0.1373446
3085.547, 0.1393738
3087.475, 0.1419735
3089.404, 0.1420805
3091.332, 0.1407966
3093.260, 0.1415929
3095.189, 0.1422445
3097.117, 0.1419095
3099.046, 0.1432997
3100.974, 0.1430416
3102.903, 0.1439387
3104.831, 0.1454685
3106.760, 0.1443831
3108.688, 0.1436200
3110.617, 0.1442072
3112.545, 0.1474275
3114.474, 0.1493554
3116.402, 0.1474595
3118.331, 0.1466408
3120.259, 0.1465956
3122.188, 0.1472002
3124.116, 0.1471012
3126.044, 0.1493189
3127.973, 0.1508200
3129.901, 0.1489769
3131.830, 0.1495938
3133.758, 0.1509461
3135.687, 0.1512212
3137.615, 0.1521399
3139.544, 0.1540081
3141.472, 0.1539702
3143.401, 0.1559117
3145.329, 0.1561064
3147.258, 0.1567991
3149.186, 0.1571723
3151.115, 0.1573113
3153.043, 0.1570772
3154.971, 0.1561002
3156.900, 0.1558385
3158.828, 0.1565420
3160.757, 0.1573666
3162.685, 0.1574188
3164.614, 0.1554685
3166.542, 0.1552661
3168.471, 0.1579230
3170.399, 0.1614914
3172.328, 0.1625854
3174.256, 0.1615659
3176.185, 0.1602926
3178.113, 0.1597322
3180.042, 0.1596217
3181.970, 0.1599993
3183.898, 0.1604736
3185.827, 0.1622508
3187.755, 0.1622434
3189.684, 0.1606846
3191.612, 0.1619819
3193.541, 0.1636456
3195.469, 0.1627263
3197.398, 0.1617468
3199.326, 0.1624727
3201.255, 0.1633222
3203.183, 0.1638572
3205.112, 0.1650001
3207.040, 0.1677967
3208.969, 0.1681787
3210.897, 0.1658379
3212.825, 0.1665122
3214.754, 0.1669317
3216.682, 0.1682276
3218.611, 0.1708028
3220.539, 0.1716638
3222.468, 0.1709965
3224.396, 0.1705392
3226.325, 0.1699378
3228.253, 0.1685947
3230.182, 0.1678786
3232.110, 0.1676931
3234.039, 0.1695193
3235.967, 0.1725151
3237.896, 0.1725141
3239.824, 0.1715833
3241.752, 0.1703511
3243.681, 0.1713783
3245.609, 0.1726949
3247.538, 0.1727517
3249.466, 0.1735765
3251.395, 0.1735843
3253.323, 0.1715218
3255.252, 0.1700147
3257.180, 0.1711587
3259.109, 0.1713457
3261.037, 0.1712244
3262.966, 0.1712795
3264.894, 0.1711961
3266.823, 0.1722833
3268.751, 0.1745017
3270.679, 0.1757951
3272.608, 0.1749583
3274.536, 0.1742308
3276.465, 0.1748698
3278.393, 0.1750093
3280.322, 0.1744672
3282.250, 0.1750530
3284.179, 0.1753620
3286.107, 0.1735189
3288.036, 0.1704118
3289.964, 0.1705856
3291.893, 0.1725947
3293.821, 0.1728253
3295.750, 0.1738721
3297.678, 0.1735043
3299.606, 0.1729187
3301.535, 0.1737724
3303.463, 0.1744621
3305.392, 0.1747908
3307.320, 0.1748993
3309.249, 0.1730711
3311.177, 0.1732654
3313.106, 0.1765997
3315.034, 0.1765307
3316.963, 0.1756960
3318.891, 0.1772565
3320.820, 0.1768659
3322.748, 0.1737738
3324.677, 0.1730994
3326.605, 0.1744153
3328.533, 0.1751463
3330.462, 0.1767666
3332.390, 0.1767502
3334.319, 0.1750625
3336.247, 0.1768863
3338.176, 0.1761801
3340.104, 0.1739306
3342.033, 0.1738790
3343.961, 0.1735305
3345.890, 0.1745006
3347.818, 0.1724209
3349.747, 0.1714275
3351.675, 0.1736467
3353.604, 0.1746655
3355.532, 0.1740608
3357.460, 0.1718878
3359.389, 0.1721236
3361.317, 0.1713903
3363.246, 0.1715129
3365.174, 0.1715695
3367.103, 0.1710698
3369.031, 0.1724386
3370.960, 0.1728328
3372.888, 0.1725189
3374.817, 0.1718644
3376.745, 0.1722234
3378.674, 0.1703026
3380.602, 0.1688595
3382.531, 0.1668675
3384.459, 0.1649559
3386.387, 0.1657482
3388.316, 0.1675557
3390.244, 0.1678322
3392.173, 0.1677802
3394.101, 0.1692005
3396.030, 0.1675656
3397.958, 0.1641975
3399.887, 0.1621646
3401.815, 0.1621377
3403.744, 0.1621910
3405.672, 0.1622073
3407.601, 0.1635487
3409.529, 0.1630361
3411.458, 0.1624020
3413.386, 0.1618732
3415.314, 0.1618470
3417.243, 0.1608721
3419.171, 0.1605583
3421.100, 0.1602349
3423.028, 0.1603751
3424.957, 0.1594002
3426.885, 0.1573759
3428.814, 0.1574165
3430.742, 0.1570956
3432.671, 0.1569152
3434.599, 0.1561647
3436.528, 0.1540165
3438.456, 0.1533982
3440.385, 0.1521347
3442.313, 0.1503008
3444.241, 0.1511739
3446.170, 0.1503603
3448.098, 0.1493611
3450.027, 0.1508366
3451.955, 0.1501709
3453.884, 0.1490448
3455.812, 0.1479481
3457.741, 0.1474692
3459.669, 0.1448754
3461.598, 0.1430734
3463.526, 0.1434557
3465.455, 0.1434291
3467.383, 0.1408025
3469.312, 0.1393843
3471.240, 0.1421582
3473.168, 0.1418883
3475.097, 0.1406311
3477.025, 0.1395233
3478.954, 0.1369047
3480.882, 0.1367866
3482.811, 0.1363389
3484.739, 0.1361884
3486.668, 0.1333562
3488.596, 0.1303981
3490.525, 0.1321209
3492.453, 0.1339137
3494.382, 0.1332573
3496.310, 0.1306501
3498.239, 0.1264807
3500.167, 0.1254958
3502.095, 0.1265361
3504.024, 0.1240211
3505.952, 0.1244638
3507.881, 0.1266970
3509.809, 0.1258203
3511.738, 0.1222180
3513.666, 0.1207374
3515.595, 0.1202819
3517.523, 0.1209696
3519.452, 0.1201350
3521.380, 0.1179217
3523.309, 0.1168870
3525.237, 0.1186344
3527.166, 0.1175949
3529.094, 0.1152411
3531.022, 0.1140820
3532.951, 0.1130299
3534.879, 0.1123713
3536.808, 0.1089247
3538.736, 0.1056243
3540.665, 0.1076226
3542.593, 0.1051907
3544.522, 0.1010639
3546.450, 0.1016732
3548.379, 0.1018949
3550.307, 0.1037422
3552.236, 0.1079681
3554.164, 0.1040255
3556.093, 0.1013905
3558.021, 0.1010216
3559.949, 9.8862387E-02
3561.878, 9.5136367E-02
3563.806, 9.4015338E-02
3565.735, 9.5014133E-02
3567.663, 9.4575018E-02
3569.592, 9.2961892E-02
3571.520, 9.0000384E-02
3573.449, 8.8210084E-02
3575.377, 8.7502994E-02
3577.306, 8.9784198E-02
3579.234, 9.0745211E-02
3581.163, 8.8536151E-02
3583.091, 8.7427907E-02
3585.020, 8.8380419E-02
3586.948, 8.7280907E-02
3588.876, 8.5257329E-02
3590.805, 8.8959306E-02
3592.733, 9.0170272E-02
3594.662, 8.6572722E-02
3596.590, 8.4737130E-02
3598.519, 8.2524627E-02
3600.447, 7.9887182E-02
3602.376, 8.1028640E-02
3604.304, 7.9690121E-02
3606.233, 7.9817504E-02
3608.161, 8.1546359E-02
3610.090, 7.8975476E-02
3612.018, 7.7270642E-02
3613.947, 7.8569926E-02
3615.875, 7.7829093E-02
3617.803, 7.8337237E-02
3619.732, 7.8882590E-02
3621.660, 7.6636203E-02
3623.589, 7.6768413E-02
3625.517, 7.5364560E-02
3627.446, 7.2114252E-02
3629.374, 7.3050171E-02
3631.303, 7.5249061E-02
3633.231, 7.3079012E-02
3635.160, 7.1543388E-02
3637.088, 7.1630388E-02
3639.017, 6.9462962E-02
3640.945, 6.9001533E-02
3642.874, 7.1978644E-02
3644.802, 7.2647803E-02
3646.730, 7.1223237E-02
3648.659, 7.1659289E-02
3650.587, 7.0372447E-02
3652.516, 7.0433527E-02
3654.444, 7.2661631E-02
3656.373, 7.3037997E-02
3658.301, 7.1542934E-02
3660.230, 6.7841411E-02
3662.158, 6.7507938E-02
3664.087, 6.8856329E-02
3666.015, 6.9063313E-02
3667.944, 6.8935163E-02
3669.872, 6.9596112E-02
3671.801, 6.7920528E-02
3673.729, 6.6474423E-02
3675.657, 6.8257771E-02
3677.586, 6.6836171E-02
3679.514, 6.5614156E-02
3681.443, 6.8618320E-02
3683.371, 6.9189683E-02
3685.300, 6.9805138E-02
3687.228, 6.9921046E-02
3689.157, 6.9703780E-02
3691.085, 7.3583499E-02
3693.014, 7.4649990E-02
3694.942, 7.2844356E-02
3696.871, 6.8113454E-02
3698.799, 6.6162117E-02
3700.728, 6.9124840E-02
3702.656, 7.0089027E-02
3704.584, 6.7139588E-02
3706.513, 6.9233030E-02
3708.441, 6.8363428E-02
3710.370, 6.4305812E-02
3712.298, 6.8950519E-02
3714.227, 7.5099424E-02
3716.155, 7.1537927E-02
3718.084, 7.0435897E-02
3720.012, 7.0234627E-02
3721.941, 7.0956163E-02
3723.869, 7.2863013E-02
3725.798, 7.3708460E-02
3727.726, 7.4879430E-02
3729.655, 7.5605832E-02
3731.583, 7.3241077E-02
3733.511, 7.4052438E-02
3735.440, 7.0736513E-02
3737.368, 6.6894747E-02
3739.297, 7.0188314E-02
3741.225, 7.3744871E-02
3743.154, 7.6325148E-02
3745.082, 7.4548893E-02
3747.011, 7.5269140E-02
3748.939, 7.7386081E-02
3750.868, 7.4302644E-02
3752.796, 7.4316628E-02
3754.725, 7.3664837E-02
3756.653, 7.2024673E-02
3758.582, 7.3973097E-02
3760.510, 7.4680023E-02
3762.438, 7.1199328E-02
3764.367, 7.1112841E-02
3766.295, 6.9111101E-02
3768.224, 6.9551989E-02
3770.152, 7.0704229E-02
3772.081, 7.6124512E-02
3774.009, 7.9712033E-02
3775.938, 7.6888479E-02
3777.866, 7.3484868E-02
3779.795, 7.4655451E-02
3781.723, 7.5988218E-02
3783.652, 7.5528219E-02
3785.580, 7.6953769E-02
3787.509, 7.4884377E-02
3789.437, 7.4564204E-02
3791.365, 7.6679133E-02
3793.294, 7.6606199E-02
3795.222, 7.5463243E-02
3797.151, 7.2762333E-02
3799.079, 7.3507607E-02
3801.008, 7.8482687E-02
3802.936, 7.9458207E-02
3804.865, 7.4367240E-02
3806.793, 7.3952563E-02
3808.722, 7.7594787E-02
3810.650, 7.3298544E-02
3812.579, 7.0167303E-02
3814.507, 7.2446607E-02
3816.436, 7.8806408E-02
3818.364, 8.0541402E-02
3820.292, 7.8111917E-02
3822.221, 7.5506680E-02
3824.149, 7.3864453E-02
3826.078, 7.6039463E-02
3828.006, 7.5246558E-02
3829.935, 7.5741142E-02
3831.863, 7.6624222E-02
3833.792, 7.7304304E-02
3835.720, 7.8342780E-02
3837.649, 7.5522572E-02
3839.577, 7.5928502E-02
3841.506, 7.9072617E-02
3843.434, 8.0563083E-02
3845.363, 8.3178252E-02
3847.291, 8.2384497E-02
3849.219, 7.8830928E-02
3851.148, 8.0108076E-02
3853.076, 8.2913756E-02
3855.005, 7.9282463E-02
3856.933, 8.0933750E-02
3858.862, 8.3310343E-02
3860.790, 8.0752783E-02
3862.719, 8.0885917E-02
3864.647, 8.1950560E-02
3866.576, 7.6930434E-02
3868.504, 7.3976517E-02
3870.433, 7.5534493E-02
3872.361, 8.0190390E-02
3874.290, 8.1787758E-02
3876.218, 7.9103433E-02
3878.146, 8.0564544E-02
3880.075, 8.1702463E-02
3882.003, 7.9172418E-02
3883.932, 8.0191649E-02
3885.860, 8.1677243E-02
3887.789, 8.0240898E-02
3889.717, 7.9069197E-02
3891.646, 8.0172837E-02
3893.574, 7.9542540E-02
3895.503, 7.7516504E-02
3897.431, 8.0005653E-02
3899.360, 8.1535637E-02
3901.288, 8.1191733E-02
3903.217, 8.1144758E-02
3905.145, 8.2685970E-02
3907.073, 8.5538968E-02
3909.002, 8.3986416E-02
3910.930, 7.9341397E-02
3912.859, 8.1150740E-02
3914.787, 8.4565721E-02
3916.716, 8.2483537E-02
3918.644, 8.0571398E-02
3920.573, 8.1275024E-02
3922.501, 8.1611529E-02
3924.430, 8.1900217E-02
3926.358, 8.3328418E-02
3928.287, 8.5560612E-02
3930.215, 8.7706894E-02
3932.144, 8.8118918E-02
3934.072, 8.4982023E-02
3936.000, 8.0883823E-02
3937.929, 8.1028379E-02
3939.857, 8.7262139E-02
3941.786, 8.7677628E-02
3943.714, 8.0899030E-02
3945.643, 8.0642156E-02
3947.571, 8.6738847E-02
3949.500, 8.8393234E-02
3951.428, 8.7224573E-02
3953.357, 8.7206073E-02
3955.285, 8.6782083E-02
3957.214, 8.3816528E-02
3959.142, 8.4928349E-02
3961.071, 8.8237680E-02
3962.999, 8.8133991E-02
3964.927, 8.4474497E-02
3966.856, 8.3746418E-02
3968.784, 8.4819376E-02
3970.713, 8.1666946E-02
3972.641, 8.4490240E-02
3974.570, 8.7567471E-02
3976.498, 8.7432809E-02
3978.427, 8.4763221E-02
3980.355, 8.6242422E-02
3982.284, 9.0319790E-02
3984.212, 8.8038102E-02
3986.141, 8.5268013E-02
3988.069, 8.6936079E-02
3989.998, 8.5867234E-02
