##NAMES=Tourmaline
##RRUFFID=R080010
##LOCALITY=east Africa
##OWNER=RRUFF
##SOURCE=www.multicolour.com
##DESCRIPTION=Green gemmy fragments, consistent with dravite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080010
1.401995e+003, 2.759558e-002
1.403924e+003, 2.613385e-002
1.405852e+003, 2.484922e-002
1.407781e+003, 2.351982e-002
1.409709e+003, 2.222701e-002
1.411638e+003, 2.107064e-002
1.413566e+003, 1.996506e-002
1.415495e+003, 1.900623e-002
1.417423e+003, 1.835147e-002
1.419351e+003, 1.783240e-002
1.421280e+003, 1.695056e-002
1.423208e+003, 1.614742e-002
1.425137e+003, 1.547073e-002
1.427065e+003, 1.490592e-002
1.428994e+003, 1.427042e-002
1.430922e+003, 1.347820e-002
1.432851e+003, 1.274073e-002
1.434779e+003, 1.233550e-002
1.436708e+003, 1.180673e-002
1.438636e+003, 1.080302e-002
1.440565e+003, 9.805368e-003
1.442493e+003, 8.992217e-003
1.444422e+003, 8.298099e-003
1.446350e+003, 7.660086e-003
1.448278e+003, 6.899715e-003
1.450207e+003, 6.249496e-003
1.452135e+003, 5.741191e-003
1.454064e+003, 5.356260e-003
1.455992e+003, 5.309173e-003
1.457921e+003, 4.849619e-003
1.459849e+003, 4.055498e-003
1.461778e+003, 3.528663e-003
1.463706e+003, 3.362609e-003
1.465635e+003, 3.160971e-003
1.467563e+003, 2.904196e-003
1.469492e+003, 2.843265e-003
1.471420e+003, 2.741967e-003
1.473349e+003, 2.543951e-003
1.475277e+003, 2.291227e-003
1.477205e+003, 2.133914e-003
1.479134e+003, 1.981200e-003
1.481062e+003, 1.919560e-003
1.482991e+003, 1.934192e-003
1.484919e+003, 1.948505e-003
1.486848e+003, 1.835135e-003
1.488776e+003, 1.787071e-003
1.490705e+003, 1.598638e-003
1.492633e+003, 1.376817e-003
1.494562e+003, 1.396423e-003
1.496490e+003, 1.422088e-003
1.498419e+003, 1.273086e-003
1.500347e+003, 1.021464e-003
1.502276e+003, 7.663991e-004
1.504204e+003, 1.091457e-003
1.506132e+003, 1.502881e-003
1.508061e+003, 1.174356e-003
1.509989e+003, 7.194394e-004
1.511918e+003, 7.092903e-004
1.513846e+003, 6.709958e-004
1.515775e+003, 7.659337e-004
1.517703e+003, 8.990407e-004
1.519632e+003, 1.085563e-003
1.521560e+003, 1.136180e-003
1.523489e+003, 8.501415e-004
1.525417e+003, 6.608818e-004
1.527346e+003, 6.392950e-004
1.529274e+003, 5.122220e-004
1.531203e+003, 4.323667e-004
1.533131e+003, 5.099419e-004
1.535059e+003, 4.287990e-004
1.536988e+003, 5.886694e-004
1.538916e+003, 9.940427e-004
1.540845e+003, 7.796835e-004
1.542773e+003, 3.914333e-004
1.544702e+003, 9.628235e-005
1.546630e+003, 9.241352e-005
1.548559e+003, 1.444707e-004
1.550487e+003, 1.425146e-004
1.552416e+003, 2.364054e-004
1.554344e+003, 4.384446e-004
1.556273e+003, 5.837576e-004
1.558201e+003, 1.097857e-003
1.560130e+003, 1.002931e-003
1.562058e+003, 3.953371e-004
1.563986e+003, 1.881203e-004
1.565915e+003, 2.307269e-004
1.567843e+003, 2.436639e-004
