##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
2163.740, 7.0654280E-03
2165.668, 5.8711022E-03
2167.597, 5.4681590E-03
2169.525, 5.4069422E-03
2171.454, 4.6406719E-03
2173.382, 2.4921980E-03
2175.311, 6.6052668E-04
2177.239, 1.7958439E-03
2179.167, 3.1871290E-03
2181.096, 4.2729601E-03
2183.024, 5.1440350E-03
2184.953, 2.2271329E-03
2186.881, 1.8061210E-03
2188.810, 4.1973758E-03
2190.738, 5.4503190E-03
2192.667, 4.6078162E-03
2194.595, 3.5742770E-03
2196.524, 6.3045868E-03
2198.452, 8.4239729E-03
2200.381, 6.7633740E-03
2202.309, 3.9688922E-03
2204.238, 3.2602909E-03
2206.166, 4.2601018E-03
2208.094, 7.3921368E-03
2210.023, 9.5184399E-03
2211.951, 1.0319470E-02
2213.880, 1.0694600E-02
2215.808, 9.2660012E-03
2217.737, 9.3339421E-03
2219.665, 1.0455300E-02
2221.594, 9.7742304E-03
2223.522, 8.6629782E-03
2225.451, 8.4128696E-03
2227.379, 8.6899959E-03
2229.308, 1.0051900E-02
2231.236, 1.0931710E-02
2233.165, 1.0412300E-02
2235.093, 1.0832800E-02
2237.021, 1.0243300E-02
2238.950, 1.0291120E-02
2240.878, 1.0158990E-02
2242.807, 8.6491872E-03
2244.735, 9.7299954E-03
2246.664, 1.2526760E-02
2248.592, 1.3027350E-02
2250.521, 1.2332800E-02
2252.449, 1.1391210E-02
2254.378, 1.2354620E-02
2256.306, 1.3112120E-02
2258.235, 1.1932120E-02
2260.163, 1.1308860E-02
2262.092, 1.0981770E-02
2264.020, 1.1103940E-02
2265.948, 1.1815570E-02
2267.877, 1.1058410E-02
2269.805, 1.0196890E-02
2271.734, 9.8495306E-03
2273.662, 1.0402170E-02
2275.591, 1.0788320E-02
2277.519, 1.0540090E-02
2279.448, 1.0831120E-02
2281.376, 1.1889820E-02
2283.305, 1.1839760E-02
2285.233, 1.1977280E-02
2287.162, 1.2814750E-02
2289.090, 1.3315170E-02
2291.019, 1.3284610E-02
2292.947, 1.2602990E-02
2294.875, 1.2776400E-02
2296.804, 1.3920380E-02
2298.732, 1.4421640E-02
2300.661, 1.4510610E-02
2302.589, 1.4039310E-02
2304.518, 1.3354990E-02
2306.446, 1.4001450E-02
2308.375, 1.5410790E-02
2310.303, 1.5427240E-02
2312.232, 1.5359600E-02
2314.160, 1.6501689E-02
2316.089, 1.6656891E-02
2318.017, 1.6231300E-02
2319.946, 1.7139111E-02
2321.874, 1.7404269E-02
2323.802, 1.7354021E-02
2325.731, 1.6470701E-02
2327.659, 1.5934659E-02
2329.588, 1.6809139E-02
2331.516, 1.7627150E-02
2333.445, 1.7260309E-02
2335.373, 1.6933979E-02
2337.302, 1.6794810E-02
2339.230, 1.6685110E-02
2341.159, 1.6099179E-02
2343.087, 1.6193209E-02
2345.016, 1.6622441E-02
2346.944, 1.6558720E-02
2348.873, 1.6258899E-02
2350.801, 1.5977480E-02
2352.729, 1.6417330E-02
2354.658, 1.7237250E-02
2356.586, 1.6776130E-02
2358.515, 1.7167261E-02
2360.443, 1.7915489E-02
2362.372, 1.8183460E-02
2364.300, 1.7475400E-02
2366.229, 1.7091859E-02
2368.157, 1.7336950E-02
2370.086, 1.6533010E-02
2372.014, 1.6289400E-02
2373.942, 1.6474869E-02
2375.871, 1.5827030E-02
2377.799, 1.5051330E-02
2379.728, 1.5332800E-02
2381.656, 1.5392650E-02
2383.585, 1.4121390E-02
2385.513, 1.4287710E-02
2387.442, 1.5659690E-02
2389.370, 1.5743880E-02
2391.299, 1.5500970E-02
2393.227, 1.5783871E-02
2395.156, 1.5887400E-02
2397.084, 1.5709801E-02
2399.012, 1.5776590E-02
2400.941, 1.5736930E-02
2402.869, 1.5655249E-02
2404.798, 1.5605940E-02
2406.726, 1.6427649E-02
2408.655, 1.7222490E-02
2410.583, 1.6495520E-02
2412.512, 1.6099520E-02
2414.440, 1.6329480E-02
2416.369, 1.6355211E-02
2418.297, 1.6612779E-02
2420.226, 1.6401110E-02
2422.154, 1.6281640E-02
2424.083, 1.4912200E-02
2426.011, 1.4816700E-02
2427.939, 1.6497839E-02
2429.868, 1.6496960E-02
2431.796, 1.6448019E-02
2433.725, 1.7152891E-02
2435.653, 1.6397299E-02
2437.582, 1.7011469E-02
2439.510, 1.7599249E-02
2441.439, 1.7757030E-02
2443.367, 1.8589441E-02
2445.296, 1.8033190E-02
2447.224, 1.6709100E-02
2449.153, 1.6091989E-02
2451.081, 1.7538970E-02
2453.010, 1.7087510E-02
2454.938, 1.6784331E-02
2456.866, 1.8088629E-02
2458.795, 1.8039109E-02
2460.723, 1.7019460E-02
2462.652, 1.7594891E-02
2464.580, 1.9011229E-02
2466.509, 1.9009050E-02
2468.437, 1.8533081E-02
2470.366, 1.8646341E-02
2472.294, 1.8091070E-02
2474.223, 1.6830649E-02
2476.151, 1.6074480E-02
2478.080, 1.6158771E-02
2480.008, 1.7086880E-02
2481.937, 1.7308241E-02
2483.865, 1.7687799E-02
2485.793, 1.8122340E-02
2487.722, 1.7529599E-02
2489.650, 1.6958481E-02
2491.579, 1.7648920E-02
2493.507, 1.7947130E-02
2495.436, 1.7891239E-02
2497.364, 1.8375261E-02
2499.293, 1.7514100E-02
2501.221, 1.7520539E-02
2503.150, 1.8071091E-02
2505.078, 1.6696259E-02
2507.007, 1.6274281E-02
2508.935, 1.8909210E-02
2510.864, 2.0274941E-02
2512.792, 1.8139690E-02
2514.720, 1.6537430E-02
2516.649, 1.6529370E-02
2518.577, 1.7110420E-02
2520.506, 1.7362939E-02
2522.434, 1.6947741E-02
2524.363, 1.6642541E-02
2526.291, 1.7635500E-02
2528.220, 1.8111389E-02
2530.148, 1.7752729E-02
2532.077, 1.7498480E-02
2534.005, 1.6506050E-02
2535.934, 1.6236410E-02
2537.862, 1.6922111E-02
2539.791, 1.8090850E-02
2541.719, 1.8888960E-02
2543.647, 1.8339550E-02
2545.576, 1.9722991E-02
2547.504, 2.1077940E-02
2549.433, 2.0325219E-02
2551.361, 1.8770849E-02
2553.290, 1.7983889E-02
2555.218, 1.8310040E-02
2557.147, 1.8955350E-02
2559.075, 1.8018520E-02
2561.004, 1.7059440E-02
2562.932, 1.7585751E-02
2564.861, 1.7974960E-02
2566.789, 1.7952001E-02
2568.718, 1.8578719E-02
2570.646, 1.9427950E-02
2572.574, 2.0236360E-02
2574.503, 2.1067120E-02
2576.431, 2.0506119E-02
2578.360, 1.9446351E-02
2580.288, 1.8759171E-02
2582.217, 1.8893430E-02
2584.145, 1.9541301E-02
2586.074, 1.8514071E-02
2588.002, 1.8700330E-02
2589.931, 1.9210760E-02
2591.859, 1.9674789E-02
2593.788, 1.9516710E-02
2595.716, 1.9650331E-02
2597.645, 1.8869950E-02
2599.573, 1.8235819E-02
2601.501, 1.9226180E-02
2603.430, 1.9763241E-02
2605.358, 1.8938450E-02
2607.287, 1.9364281E-02
2609.215, 1.9390389E-02
2611.144, 1.8786440E-02
2613.072, 2.0054519E-02
2615.001, 2.0056009E-02
2616.929, 1.9064620E-02
2618.858, 1.9669861E-02
2620.786, 2.0534610E-02
2622.715, 2.0494949E-02
2624.643, 1.9980120E-02
2626.572, 2.0118710E-02
2628.500, 2.0167520E-02
2630.428, 1.9837370E-02
2632.357, 2.0177850E-02
2634.285, 2.0999130E-02
2636.214, 2.0958191E-02
2638.142, 2.0741710E-02
2640.071, 2.0491639E-02
2641.999, 2.0226549E-02
2643.928, 2.0434011E-02
2645.856, 2.0335490E-02
2647.785, 2.0240391E-02
2649.713, 2.0955710E-02
2651.642, 2.1393171E-02
2653.570, 2.1090349E-02
2655.499, 2.1111950E-02
2657.427, 2.1205390E-02
2659.355, 2.1592939E-02
2661.284, 2.2057541E-02
2663.212, 2.1077029E-02
2665.141, 1.9918559E-02
2667.069, 1.9516891E-02
2668.998, 2.0755511E-02
2670.926, 2.1265430E-02
2672.855, 2.0364700E-02
2674.783, 2.0352250E-02
2676.712, 2.0391380E-02
2678.640, 2.1100059E-02
2680.569, 2.1299411E-02
2682.497, 2.1192631E-02
2684.426, 2.1319911E-02
2686.354, 2.1713400E-02
2688.282, 2.1146450E-02
2690.211, 2.1085650E-02
2692.139, 2.1341480E-02
2694.068, 2.1259220E-02
2695.996, 2.1030130E-02
2697.925, 2.0503679E-02
2699.853, 2.1530639E-02
2701.782, 2.2007750E-02
2703.710, 2.1627180E-02
2705.639, 2.2475550E-02
2707.567, 2.1898931E-02
2709.496, 2.1044221E-02
2711.424, 2.0638321E-02
2713.353, 2.1187389E-02
2715.281, 2.2159999E-02
2717.209, 2.1578399E-02
2719.138, 2.1131869E-02
2721.066, 2.1601560E-02
2722.995, 2.1764370E-02
2724.923, 2.1755490E-02
2726.852, 2.2129141E-02
2728.780, 2.2121441E-02
2730.709, 2.1508479E-02
2732.637, 2.0580960E-02
2734.566, 2.1178380E-02
2736.494, 2.1975091E-02
2738.423, 2.2097319E-02
2740.351, 2.1017339E-02
2742.280, 2.1101160E-02
2744.208, 2.2006771E-02
2746.136, 2.3015879E-02
2748.065, 2.2942750E-02
2749.993, 2.2724260E-02
2751.922, 2.2898739E-02
2753.850, 2.3412289E-02
2755.779, 2.2939039E-02
2757.707, 2.2622360E-02
2759.636, 2.2310469E-02
2761.564, 2.1751091E-02
2763.493, 2.2220200E-02
2765.421, 2.3149051E-02
2767.350, 2.3401180E-02
2769.278, 2.3507500E-02
2771.207, 2.3641471E-02
2773.135, 2.3068661E-02
2775.063, 2.2170279E-02
2776.992, 2.1534080E-02
2778.920, 2.1851210E-02
2780.849, 2.2853190E-02
2782.777, 2.2532860E-02
2784.706, 2.2252670E-02
2786.634, 2.3128860E-02
2788.563, 2.3137750E-02
2790.491, 2.3260839E-02
2792.420, 2.3344660E-02
2794.348, 2.3255220E-02
2796.277, 2.2618281E-02
2798.205, 2.3106700E-02
2800.134, 2.3418169E-02
2802.062, 2.3463570E-02
2803.990, 2.3710160E-02
2805.919, 2.3500269E-02
2807.847, 2.4525780E-02
2809.776, 2.5602549E-02
2811.704, 2.5227729E-02
2813.633, 2.4369759E-02
2815.561, 2.3423851E-02
2817.490, 2.3390800E-02
2819.418, 2.3570489E-02
2821.347, 2.3412401E-02
2823.275, 2.3530019E-02
2825.204, 2.4584400E-02
2827.132, 2.4963049E-02
2829.061, 2.4429230E-02
2830.989, 2.4323830E-02
2832.917, 2.4148781E-02
2834.846, 2.4496960E-02
2836.774, 2.5133070E-02
2838.703, 2.5046680E-02
2840.631, 2.4270689E-02
2842.560, 2.3829620E-02
2844.488, 2.3943180E-02
2846.417, 2.3839820E-02
2848.345, 2.3828520E-02
2850.274, 2.4563471E-02
2852.202, 2.4962900E-02
2854.131, 2.4511490E-02
2856.059, 2.4473030E-02
2857.988, 2.5426650E-02
2859.916, 2.5856109E-02
2861.844, 2.5551099E-02
2863.773, 2.5067410E-02
2865.701, 2.4485290E-02
2867.630, 2.4629559E-02
2869.558, 2.4783719E-02
2871.487, 2.4833711E-02
2873.415, 2.4557250E-02
2875.344, 2.4185730E-02
2877.272, 2.5433131E-02
2879.201, 2.6116490E-02
2881.129, 2.5889050E-02
2883.058, 2.4880750E-02
2884.986, 2.3824081E-02
2886.915, 2.4328539E-02
2888.843, 2.5128249E-02
2890.771, 2.5694611E-02
2892.700, 2.5879880E-02
2894.628, 2.5984680E-02
2896.557, 2.5463250E-02
2898.485, 2.5526339E-02
2900.414, 2.5839120E-02
2902.342, 2.5441309E-02
2904.271, 2.5150070E-02
2906.199, 2.5653200E-02
2908.128, 2.6010390E-02
2910.056, 2.5824631E-02
2911.985, 2.5676001E-02
2913.913, 2.5387671E-02
2915.842, 2.5228821E-02
2917.770, 2.6081610E-02
2919.698, 2.5666270E-02
2921.627, 2.4597220E-02
2923.555, 2.4265120E-02
2925.484, 2.5539780E-02
2927.412, 2.6041109E-02
2929.341, 2.5423011E-02
2931.269, 2.5264939E-02
2933.198, 2.6793679E-02
2935.126, 2.7497930E-02
2937.055, 2.7244611E-02
2938.983, 2.7612120E-02
2940.912, 2.7009360E-02
2942.840, 2.6367020E-02
2944.769, 2.6416769E-02
2946.697, 2.6130430E-02
2948.625, 2.6028810E-02
2950.554, 2.6256779E-02
2952.482, 2.6275611E-02
2954.411, 2.6709599E-02
2956.339, 2.7191000E-02
2958.268, 2.7594380E-02
2960.196, 2.7788119E-02
2962.125, 2.8481079E-02
2964.053, 2.9349120E-02
2965.982, 2.9416719E-02
2967.910, 2.8747279E-02
2969.839, 2.8983280E-02
2971.767, 3.0627020E-02
2973.696, 3.0126801E-02
2975.624, 2.8988959E-02
2977.552, 2.9434260E-02
2979.481, 2.9195551E-02
2981.409, 2.8456761E-02
2983.338, 2.8602639E-02
2985.266, 2.8501710E-02
2987.195, 2.8840480E-02
2989.123, 2.8713681E-02
2991.052, 2.9320940E-02
2992.980, 3.0363020E-02
2994.909, 2.9681729E-02
2996.837, 3.0433370E-02
2998.766, 3.1360369E-02
3000.694, 3.1032480E-02
3002.623, 3.0166419E-02
3004.551, 2.9965689E-02
3006.479, 2.9303260E-02
3008.408, 2.9411910E-02
3010.336, 3.0007740E-02
3012.265, 3.1288650E-02
3014.193, 3.1431518E-02
3016.122, 3.0111970E-02
3018.050, 2.9398721E-02
3019.979, 3.0312089E-02
3021.907, 3.1584062E-02
3023.836, 3.0741859E-02
3025.764, 2.9969331E-02
3027.693, 2.9195540E-02
3029.621, 2.9682649E-02
3031.550, 3.0273480E-02
3033.478, 3.0024471E-02
3035.406, 2.9634710E-02
3037.335, 3.0558560E-02
3039.263, 3.2896399E-02
3041.192, 3.3672459E-02
3043.120, 3.2708190E-02
3045.049, 3.1728908E-02
3046.977, 3.1615350E-02
3048.906, 3.2255109E-02
3050.834, 3.2475080E-02
3052.763, 3.1513609E-02
3054.691, 3.0363429E-02
3056.620, 2.9665081E-02
3058.548, 3.0353939E-02
3060.477, 3.2323331E-02
3062.405, 3.3837900E-02
3064.333, 3.1005049E-02
3066.262, 2.9278001E-02
3068.190, 3.0188560E-02
3070.119, 3.1268150E-02
3072.047, 3.2793950E-02
3073.976, 3.3425651E-02
3075.904, 3.2240879E-02
3077.833, 3.1463161E-02
3079.761, 3.1009430E-02
3081.690, 3.2183159E-02
3083.618, 3.3572521E-02
3085.547, 3.2501429E-02
3087.475, 3.0914281E-02
3089.404, 3.1143021E-02
3091.332, 3.0924130E-02
3093.260, 3.1625580E-02
3095.189, 3.2180239E-02
3097.117, 3.1437229E-02
3099.046, 3.1757139E-02
3100.974, 3.2019809E-02
3102.903, 3.2842271E-02
3104.831, 3.3346791E-02
3106.760, 3.3669401E-02
3108.688, 3.3137761E-02
3110.617, 3.4100652E-02
3112.545, 3.5113510E-02
3114.474, 3.3541020E-02
3116.402, 3.2487389E-02
3118.331, 3.1874161E-02
3120.259, 3.2139890E-02
3122.188, 3.3089548E-02
3124.116, 3.3361651E-02
3126.044, 3.4132030E-02
3127.973, 3.2904811E-02
3129.901, 3.3255830E-02
3131.830, 3.4285620E-02
3133.758, 3.2300659E-02
3135.687, 3.2258611E-02
3137.615, 3.4335110E-02
3139.544, 3.4622539E-02
3141.472, 3.2879811E-02
3143.401, 3.2589938E-02
3145.329, 3.3508912E-02
3147.258, 3.4462810E-02
3149.186, 3.5724990E-02
3151.115, 3.6034439E-02
3153.043, 3.5094161E-02
3154.971, 3.3490561E-02
3156.900, 3.2149870E-02
3158.828, 3.1036360E-02
3160.757, 3.2326389E-02
3162.685, 3.4371950E-02
3164.614, 3.4133509E-02
3166.542, 3.4388158E-02
3168.471, 3.5367880E-02
3170.399, 3.4884859E-02
3172.328, 3.3829380E-02
3174.256, 3.4051958E-02
3176.185, 3.3066679E-02
3178.113, 3.2717392E-02
3180.042, 3.3371270E-02
3181.970, 3.3648491E-02
3183.898, 3.4457341E-02
3185.827, 3.6096331E-02
3187.755, 3.6929909E-02
3189.684, 3.5064649E-02
3191.612, 3.4866009E-02
3193.541, 3.5865650E-02
3195.469, 3.5681959E-02
3197.398, 3.6242109E-02
3199.326, 3.5904512E-02
3201.255, 3.4309410E-02
3203.183, 3.3782549E-02
3205.112, 3.4476910E-02
3207.040, 3.5592470E-02
3208.969, 3.4946691E-02
3210.897, 3.4952089E-02
3212.825, 3.6363881E-02
3214.754, 3.6137551E-02
3216.682, 3.4192499E-02
3218.611, 3.3763781E-02
3220.539, 3.4973130E-02
3222.468, 3.4620371E-02
3224.396, 3.5290759E-02
3226.325, 3.5267249E-02
3228.253, 3.4028549E-02
3230.182, 3.4971070E-02
3232.110, 3.5759199E-02
3234.039, 3.4082718E-02
3235.967, 3.2906801E-02
3237.896, 3.4070939E-02
3239.824, 3.4638159E-02
3241.752, 3.5472140E-02
3243.681, 3.6743890E-02
3245.609, 3.4545280E-02
3247.538, 3.3658542E-02
3249.466, 3.5501219E-02
3251.395, 3.5467278E-02
3253.323, 3.6191061E-02
3255.252, 3.7152100E-02
3257.180, 3.9116502E-02
3259.109, 3.9844669E-02
3261.037, 3.8547561E-02
3262.966, 3.6895540E-02
3264.894, 3.6668539E-02
3266.823, 3.6679432E-02
3268.751, 3.5074990E-02
3270.679, 3.4232281E-02
3272.608, 3.6435079E-02
3274.536, 3.7320841E-02
3276.465, 3.6845852E-02
3278.393, 3.7202891E-02
3280.322, 3.7387669E-02
3282.250, 3.7869379E-02
3284.179, 3.6909591E-02
3286.107, 3.5206541E-02
3288.036, 3.4130599E-02
3289.964, 3.4098819E-02
3291.893, 3.4434080E-02
3293.821, 3.4241851E-02
3295.750, 3.6159519E-02
3297.678, 3.7422068E-02
3299.606, 3.6025029E-02
3301.535, 3.7106339E-02
3303.463, 3.8142901E-02
3305.392, 3.8265720E-02
3307.320, 3.8193401E-02
3309.249, 3.8557459E-02
3311.177, 3.7827879E-02
3313.106, 3.6761161E-02
3315.034, 3.8002871E-02
3316.963, 3.8403399E-02
3318.891, 3.9353929E-02
3320.820, 3.8029660E-02
3322.748, 3.8603239E-02
3324.677, 3.7767570E-02
3326.605, 3.5413470E-02
3328.533, 3.7157409E-02
3330.462, 3.8231850E-02
3332.390, 3.6179170E-02
3334.319, 3.7265521E-02
3336.247, 4.0727589E-02
3338.176, 4.0617809E-02
3340.104, 3.7830021E-02
3342.033, 3.6752839E-02
3343.961, 3.7454911E-02
3345.890, 3.7682999E-02
3347.818, 3.7740920E-02
3349.747, 3.7571538E-02
3351.675, 3.7516240E-02
3353.604, 3.7620269E-02
3355.532, 3.6820330E-02
3357.460, 3.8146380E-02
3359.389, 3.9807949E-02
3361.317, 3.9367210E-02
3363.246, 3.7270859E-02
3365.174, 3.7787370E-02
3367.103, 3.6848791E-02
3369.031, 3.6259390E-02
3370.960, 3.8071841E-02
3372.888, 3.9102551E-02
3374.817, 3.8172789E-02
3376.745, 3.5304010E-02
3378.674, 3.6564581E-02
3380.602, 3.7334971E-02
3382.531, 3.6060400E-02
3384.459, 3.7339609E-02
3386.387, 3.8966719E-02
3388.316, 3.9603021E-02
3390.244, 4.0689100E-02
3392.173, 4.0063601E-02
3394.101, 3.7782740E-02
3396.030, 3.8206480E-02
3397.958, 3.8247351E-02
3399.887, 3.8296230E-02
3401.815, 3.9506320E-02
3403.744, 4.0897612E-02
3405.672, 4.1380599E-02
3407.601, 4.0082000E-02
3409.529, 3.9038010E-02
3411.458, 3.8095292E-02
3413.386, 3.6195088E-02
3415.314, 3.5168778E-02
3417.243, 3.6451690E-02
3419.171, 3.8206309E-02
3421.100, 3.6533382E-02
3423.028, 3.5967421E-02
3424.957, 3.9068200E-02
3426.885, 4.2188659E-02
3428.814, 4.1049931E-02
3430.742, 3.6779068E-02
3432.671, 3.6048569E-02
3434.599, 3.8694590E-02
3436.528, 4.0467061E-02
3438.456, 4.1255310E-02
3440.385, 3.9837509E-02
3442.313, 3.7120931E-02
3444.241, 3.6891039E-02
3446.170, 3.8590711E-02
3448.098, 3.9934691E-02
3450.027, 4.0593609E-02
3451.955, 3.9983831E-02
3453.884, 3.8925480E-02
3455.812, 3.8793970E-02
3457.741, 3.9223529E-02
3459.669, 4.0334329E-02
3461.598, 3.9212059E-02
3463.526, 3.9668038E-02
3465.455, 4.0140539E-02
3467.383, 3.9562650E-02
3469.312, 4.1539621E-02
3471.240, 4.1103210E-02
3473.168, 3.6907911E-02
3475.097, 4.0223259E-02
3477.025, 4.2712189E-02
3478.954, 4.0715110E-02
3480.882, 3.9873570E-02
3482.811, 4.0284220E-02
3484.739, 3.9165620E-02
3486.668, 3.6578700E-02
3488.596, 3.7456870E-02
3490.525, 4.0935721E-02
3492.453, 4.1432880E-02
3494.382, 3.9873671E-02
3496.310, 4.0272020E-02
3498.239, 3.9515890E-02
3500.167, 3.9666351E-02
3502.095, 3.9998271E-02
3504.024, 3.9765589E-02
3505.952, 3.9987940E-02
3507.881, 4.1846350E-02
3509.809, 4.2252861E-02
3511.738, 4.0805951E-02
3513.666, 4.1426729E-02
3515.595, 4.2055111E-02
3517.523, 3.8991179E-02
3519.452, 3.6536220E-02
3521.380, 3.6204591E-02
3523.309, 3.7161890E-02
3525.237, 3.8260531E-02
3527.166, 4.1019790E-02
3529.094, 4.1541100E-02
3531.022, 3.8526189E-02
3532.951, 3.8360339E-02
3534.879, 3.8940880E-02
3536.808, 3.8996261E-02
3538.736, 3.9359599E-02
3540.665, 4.1351039E-02
3542.593, 4.1725449E-02
3544.522, 3.8696241E-02
3546.450, 3.7703741E-02
3548.379, 3.9579030E-02
3550.307, 3.8465690E-02
3552.236, 3.6213569E-02
3554.164, 3.6803111E-02
3556.093, 3.8305622E-02
3558.021, 3.9940860E-02
3559.949, 4.1161671E-02
3561.878, 4.1282389E-02
3563.806, 3.9397020E-02
3565.735, 4.0212110E-02
3567.663, 3.8740631E-02
3569.592, 3.7539661E-02
3571.520, 3.6538228E-02
3573.449, 3.4385789E-02
3575.377, 3.4489021E-02
3577.306, 3.9985720E-02
3579.234, 4.1861061E-02
3581.163, 4.1022532E-02
3583.091, 3.8938720E-02
3585.020, 3.9270889E-02
3586.948, 4.1048899E-02
3588.876, 4.1202102E-02
3590.805, 3.7929870E-02
3592.733, 3.7650589E-02
3594.662, 4.1206509E-02
3596.590, 3.9308552E-02
3598.519, 3.7649289E-02
3600.447, 3.7838489E-02
3602.376, 3.9351091E-02
3604.304, 4.1327711E-02
3606.233, 4.0598560E-02
3608.161, 4.0513281E-02
3610.090, 3.7956249E-02
3612.018, 3.7840672E-02
3613.947, 4.0032249E-02
3615.875, 4.1193958E-02
3617.803, 3.8899831E-02
3619.732, 3.6430731E-02
3621.660, 3.6447190E-02
3623.589, 3.7457690E-02
3625.517, 3.7082899E-02
3627.446, 3.8876731E-02
3629.374, 3.9696209E-02
3631.303, 3.9474372E-02
3633.231, 3.7140101E-02
3635.160, 3.5837431E-02
3637.088, 3.8012329E-02
3639.017, 3.7757572E-02
3640.945, 3.6359418E-02
3642.874, 3.7184171E-02
3644.802, 3.8617309E-02
3646.730, 3.9792001E-02
3648.659, 4.0183380E-02
3650.587, 3.8820289E-02
3652.516, 3.8706731E-02
3654.444, 3.7998751E-02
3656.373, 3.9717581E-02
3658.301, 4.1352801E-02
3660.230, 4.1201841E-02
3662.158, 4.0264230E-02
3664.087, 3.5851400E-02
3666.015, 3.6313601E-02
3667.944, 3.8989659E-02
3669.872, 3.8831349E-02
3671.801, 3.5784900E-02
3673.729, 3.4238528E-02
3675.657, 3.6587551E-02
3677.586, 3.8300909E-02
3679.514, 3.7507631E-02
3681.443, 3.8083591E-02
3683.371, 3.9217308E-02
3685.300, 3.7881281E-02
3687.228, 3.7963908E-02
3689.157, 3.6803100E-02
3691.085, 3.8107440E-02
3693.014, 4.1024961E-02
3694.942, 4.1042611E-02
3696.871, 4.0828060E-02
3698.799, 4.3748129E-02
3700.728, 4.0492609E-02
3702.656, 3.9449040E-02
3704.584, 3.8556941E-02
3706.513, 3.7757691E-02
3708.441, 3.8871098E-02
3710.370, 3.8630132E-02
3712.298, 3.9906040E-02
3714.227, 3.9236490E-02
3716.155, 3.9340880E-02
3718.084, 3.8022380E-02
3720.012, 3.6508530E-02
3721.941, 3.9099261E-02
3723.869, 4.0034469E-02
3725.798, 4.2965561E-02
3727.726, 4.3900020E-02
3729.655, 4.1578181E-02
3731.583, 4.0070500E-02
3733.511, 4.1824900E-02
3735.440, 4.3735649E-02
3737.368, 4.0730730E-02
3739.297, 3.6196031E-02
3741.225, 3.5920769E-02
3743.154, 3.9956778E-02
3745.082, 4.2634241E-02
3747.011, 4.2295039E-02
3748.939, 4.0719770E-02
3750.868, 4.2225059E-02
3752.796, 4.4945020E-02
3754.725, 4.6845701E-02
3756.653, 4.4854309E-02
3758.582, 4.1573200E-02
3760.510, 3.9940551E-02
3762.438, 3.9392509E-02
3764.367, 3.7863180E-02
3766.295, 3.8876891E-02
3768.224, 4.0997729E-02
3770.152, 4.2755369E-02
3772.081, 4.0696789E-02
3774.009, 4.2875100E-02
3775.938, 4.6012040E-02
3777.866, 4.7490921E-02
3779.795, 4.4687841E-02
3781.723, 4.1509788E-02
3783.652, 4.0615231E-02
3785.580, 4.2205241E-02
3787.509, 4.2502180E-02
3789.437, 4.2195171E-02
3791.365, 4.2655170E-02
3793.294, 4.4745550E-02
3795.222, 4.5445640E-02
3797.151, 4.4363439E-02
3799.079, 4.5363732E-02
3801.008, 4.8025180E-02
3802.936, 4.7549531E-02
3804.865, 4.4809621E-02
3806.793, 4.4622909E-02
3808.722, 4.3096010E-02
3810.650, 4.2881079E-02
3812.579, 4.3942831E-02
3814.507, 4.3276928E-02
3816.436, 4.2854171E-02
3818.364, 4.3514330E-02
3820.292, 4.3883041E-02
3822.221, 4.2842329E-02
3824.149, 4.3493241E-02
3826.078, 4.1878849E-02
3828.006, 4.0280800E-02
3829.935, 4.1856389E-02
3831.863, 4.3815721E-02
3833.792, 4.2577490E-02
3835.720, 4.1422609E-02
3837.649, 4.4626690E-02
3839.577, 4.2494010E-02
3841.506, 4.1592348E-02
3843.434, 4.3140341E-02
3845.363, 4.3382581E-02
3847.291, 4.4090681E-02
3849.219, 4.0652201E-02
3851.148, 4.1015942E-02
3853.076, 4.7487412E-02
3855.005, 5.1320970E-02
3856.933, 4.8613518E-02
3858.862, 4.6351351E-02
3860.790, 4.6840519E-02
3862.719, 4.7516849E-02
3864.647, 4.5440521E-02
3866.576, 4.5059539E-02
3868.504, 4.3680619E-02
3870.433, 4.0268619E-02
3872.361, 4.1625611E-02
3874.290, 4.5661531E-02
3876.218, 4.4342279E-02
3878.146, 4.3782510E-02
3880.075, 4.2539101E-02
3882.003, 4.2614728E-02
3883.932, 4.5823172E-02
3885.860, 4.5426849E-02
3887.789, 4.3849990E-02
3889.717, 4.1993309E-02
3891.646, 4.2765010E-02
3893.574, 4.6385448E-02
3895.503, 4.3461360E-02
3897.431, 4.2529281E-02
3899.360, 4.4186961E-02
3901.288, 4.7372930E-02
3903.217, 5.1961079E-02
3905.145, 4.7846951E-02
3907.073, 4.4045441E-02
3909.002, 4.3267149E-02
3910.930, 4.4536099E-02
3912.859, 4.5887519E-02
3914.787, 4.8028070E-02
3916.716, 4.9262021E-02
3918.644, 4.9120549E-02
3920.573, 4.7124252E-02
3922.501, 4.6992309E-02
3924.430, 4.6338119E-02
3926.358, 4.6326399E-02
3928.287, 4.7973581E-02
