##NAMES=Gaspeite
##RRUFFID=R040157
##IDEAL CHEMISTRY=Ni^2+^CO_3_
##LOCALITY=Lemieux Township, Gaspe Nord County, Gaspe Peninsula, Quebec, Canada
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Green massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R040157
##MEASURED CHEMISTRY=(Ni_0.54_Mg_0.31_Fe_0.15_Ca_0.01_Co_0.01_)C_1.00_O_3_; = the gray bands. Light grey bands are also gaspeite: (Ni_0.57_Mg_0.41_Fe_0.08_)C_0.97_O_3_; Dark grey bands, magnesite: (Mg_0.98_Fe_0.04_Ni_0.03_)C_0.97_O_3_
894.8085, 0.057529
896.7370, 0.047502
898.6655, 0.040853
900.5939, 0.036740
902.5224, 0.034627
904.4509, 0.033587
906.3793, 0.033236
908.3078, 0.033292
910.2363, 0.033429
912.1647, 0.033910
914.0932, 0.034525
916.0217, 0.035044
917.9501, 0.035531
919.8786, 0.035975
921.8071, 0.036669
923.7355, 0.037219
925.6640, 0.037898
927.5925, 0.038929
929.5209, 0.039954
931.4494, 0.040910
933.3779, 0.042023
935.3063, 0.043407
937.2348, 0.044845
939.1633, 0.046400
941.0917, 0.048091
943.0202, 0.049684
944.9487, 0.051056
946.8771, 0.052311
948.8056, 0.053370
950.7341, 0.054130
952.6625, 0.054994
954.5910, 0.055744
956.5195, 0.056467
958.4479, 0.057160
960.3764, 0.057958
962.3049, 0.058643
964.2333, 0.059074
966.1618, 0.059585
968.0903, 0.060197
970.0187, 0.060879
971.9472, 0.061554
973.8757, 0.062251
975.8041, 0.063086
977.7326, 0.063846
979.6611, 0.064518
981.5895, 0.065282
983.5180, 0.066093
985.4465, 0.066943
987.3749, 0.067975
989.3034, 0.069159
991.2319, 0.070481
993.1603, 0.071882
995.0888, 0.073193
997.0173, 0.074507
998.9457, 0.076084
1000.8740, 0.077713
1002.8030, 0.079425
1004.7310, 0.081390
1006.6600, 0.083615
1008.5880, 0.085583
1010.5170, 0.087298
1012.4450, 0.089249
1014.3730, 0.091174
1016.3020, 0.092863
1018.2300, 0.094336
1020.1590, 0.095607
1022.0870, 0.096705
1024.0160, 0.097365
1025.9440, 0.097884
1027.8730, 0.097992
1029.8010, 0.097535
1031.7300, 0.096687
1033.6580, 0.095522
1035.5870, 0.093931
1037.5150, 0.091957
1039.4440, 0.089920
1041.3720, 0.087686
1043.3010, 0.085422
1045.2290, 0.083522
1047.1570, 0.081806
1049.0860, 0.080001
1051.0140, 0.078400
1052.9430, 0.077051
1054.8710, 0.075895
1056.8000, 0.074962
1058.7280, 0.074121
1060.6570, 0.073453
1062.5850, 0.072937
1064.5140, 0.072535
1066.4420, 0.072297
1068.3710, 0.072413
1070.2990, 0.072361
1072.2280, 0.072493
1074.1560, 0.072836
1076.0840, 0.073436
1078.0130, 0.073841
1079.9410, 0.074268
1081.8700, 0.074647
1083.7980, 0.075004
1085.7270, 0.075250
1087.6550, 0.075224
1089.5840, 0.075013
1091.5120, 0.074797
1093.4410, 0.074306
1095.3690, 0.073555
1097.2980, 0.072904
1099.2260, 0.072440
1101.1550, 0.072091
1103.0830, 0.071824
1105.0110, 0.071576
1106.9400, 0.071705
1108.8680, 0.071907
1110.7970, 0.072008
1112.7250, 0.072211
1114.6540, 0.072454
1116.5820, 0.072869
1118.5110, 0.073258
1120.4390, 0.073484
1122.3680, 0.074120
1124.2960, 0.074908
1126.2250, 0.075499
1128.1530, 0.075887
1130.0820, 0.076282
1132.0100, 0.076771
1133.9380, 0.077409
1135.8670, 0.077847
1137.7950, 0.078354
1139.7240, 0.078979
1141.6520, 0.079600
1143.5810, 0.080127
1145.5090, 0.080705
1147.4380, 0.081317
1149.3660, 0.081943
1151.2950, 0.082535
1153.2230, 0.083164
1155.1520, 0.083889
1157.0800, 0.084749
1159.0090, 0.085481
1160.9370, 0.086062
1162.8650, 0.086818
1164.7940, 0.087564
1166.7220, 0.088215
1168.6510, 0.089157
1170.5790, 0.090138
1172.5080, 0.090880
1174.4360, 0.091607
1176.3650, 0.092553
1178.2930, 0.093562
1180.2220, 0.094627
1182.1500, 0.095544
1184.0790, 0.096510
1186.0070, 0.097642
1187.9360, 0.098842
1189.8640, 0.100158
1191.7920, 0.101459
1193.7210, 0.102873
1195.6490, 0.104462
1197.5780, 0.106078
1199.5060, 0.107673
1201.4350, 0.109107
1203.3630, 0.110280
1205.2920, 0.111384
1207.2200, 0.112565
1209.1490, 0.113733
1211.0770, 0.114821
1213.0060, 0.115561
1214.9340, 0.116181
1216.8630, 0.117129
1218.7910, 0.118088
1220.7190, 0.118872
1222.6480, 0.119636
1224.5760, 0.120388
1226.5050, 0.121274
1228.4330, 0.122184
1230.3620, 0.122999
1232.2900, 0.123785
1234.2190, 0.124887
1236.1470, 0.126115
1238.0760, 0.127397
1240.0040, 0.128596
1241.9330, 0.129831
1243.8610, 0.131086
1245.7900, 0.132337
1247.7180, 0.133660
1249.6460, 0.135094
1251.5750, 0.136573
1253.5030, 0.138126
1255.4320, 0.139731
1257.3600, 0.141191
1259.2890, 0.142688
1261.2170, 0.144391
1263.1460, 0.145935
1265.0740, 0.147630
1267.0030, 0.149571
1268.9310, 0.151418
1270.8600, 0.153308
1272.7880, 0.155392
1274.7170, 0.157600
1276.6450, 0.159653
1278.5730, 0.161763
1280.5020, 0.163943
1282.4300, 0.166017
1284.3590, 0.168474
1286.2870, 0.170977
1288.2160, 0.173166
1290.1440, 0.175582
1292.0730, 0.178016
1294.0010, 0.180571
1295.9300, 0.183165
1297.8580, 0.185630
1299.7870, 0.188000
1301.7150, 0.190682
1303.6440, 0.193618
1305.5720, 0.196547
1307.5000, 0.199348
1309.4290, 0.202190
1311.3570, 0.205418
1313.2860, 0.208594
1315.2140, 0.211554
1317.1430, 0.214631
1319.0710, 0.218034
1321.0000, 0.221525
1322.9280, 0.225232
1324.8570, 0.228778
1326.7850, 0.232360
1328.7140, 0.236105
1330.6420, 0.239822
1332.5710, 0.243726
1334.4990, 0.247570
1336.4270, 0.251589
1338.3560, 0.255942
1340.2840, 0.260195
1342.2130, 0.264397
1344.1410, 0.268897
1346.0700, 0.273336
1347.9980, 0.277792
1349.9270, 0.282248
1351.8550, 0.287003
1353.7840, 0.292140
1355.7120, 0.297120
1357.6410, 0.301996
1359.5690, 0.307321
1361.4980, 0.312910
1363.4260, 0.318435
1365.3540, 0.324015
1367.2830, 0.329837
1369.2110, 0.335562
1371.1400, 0.341875
1373.0680, 0.348639
1374.9970, 0.355454
1376.9250, 0.362348
1378.8540, 0.369308
1380.7820, 0.376494
1382.7110, 0.384040
1384.6390, 0.391730
1386.5680, 0.399067
1388.4960, 0.405772
1390.4240, 0.411919
1392.3530, 0.417916
1394.2810, 0.424594
1396.2100, 0.431813
1398.1380, 0.438897
1400.0670, 0.445078
1401.9950, 0.451224
1403.9240, 0.457872
1405.8520, 0.464089
1407.7810, 0.469747
1409.7090, 0.474285
1411.6380, 0.477349
1413.5660, 0.479078
1415.4950, 0.479541
1417.4230, 0.479132
1419.3510, 0.477263
1421.2800, 0.474557
1423.2080, 0.471285
1425.1370, 0.467548
1427.0650, 0.463204
1428.9940, 0.458191
1430.9220, 0.452514
1432.8510, 0.446278
1434.7790, 0.440121
1436.7080, 0.434060
1438.6360, 0.427258
1440.5650, 0.420456
1442.4930, 0.413930
1444.4220, 0.407263
1446.3500, 0.400537
1448.2780, 0.393958
1450.2070, 0.387156
1452.1350, 0.380408
1454.0640, 0.373802
1455.9920, 0.367567
1457.9210, 0.361162
1459.8490, 0.354354
1461.7780, 0.347732
1463.7060, 0.341053
1465.6350, 0.334425
1467.5630, 0.328291
1469.4920, 0.322403
1471.4200, 0.316517
1473.3490, 0.310498
1475.2770, 0.304478
1477.2050, 0.298496
1479.1340, 0.292614
1481.0620, 0.286646
1482.9910, 0.280991
1484.9190, 0.275398
1486.8480, 0.269424
1488.7760, 0.263774
1490.7050, 0.258276
1492.6330, 0.252305
1494.5620, 0.246612
1496.4900, 0.240893
1498.4190, 0.234847
1500.3470, 0.228810
1502.2760, 0.222999
1504.2040, 0.217344
1506.1320, 0.211555
1508.0610, 0.205269
1509.9890, 0.199032
1511.9180, 0.193080
1513.8460, 0.187163
1515.7750, 0.181144
1517.7030, 0.175050
1519.6320, 0.169338
1521.5600, 0.163675
1523.4890, 0.157720
1525.4170, 0.151956
1527.3460, 0.146205
1529.2740, 0.140559
1531.2030, 0.135074
1533.1310, 0.129666
1535.0590, 0.124131
1536.9880, 0.118797
1538.9160, 0.113899
1540.8450, 0.108986
1542.7730, 0.103886
1544.7020, 0.098902
1546.6300, 0.094010
1548.5590, 0.089572
1550.4870, 0.085365
1552.4160, 0.080866
1554.3440, 0.076226
1556.2730, 0.071779
1558.2010, 0.067707
1560.1300, 0.063051
1562.0580, 0.058005
1563.9860, 0.053335
1565.9150, 0.048680
1567.8430, 0.044060
1569.7720, 0.039378
1571.7000, 0.034434
1573.6290, 0.030005
1575.5570, 0.026177
1577.4860, 0.022519
1579.4140, 0.019413
1581.3430, 0.016922
1583.2710, 0.014863
1585.2000, 0.013504
1587.1280, 0.012388
1589.0570, 0.011581
1590.9850, 0.011162
1592.9130, 0.010878
1594.8420, 0.010941
1596.7700, 0.011029
1598.6990, 0.010799
1600.6270, 0.010831
1602.5560, 0.011033
1604.4840, 0.011064
1606.4130, 0.011154
1608.3410, 0.011111
1610.2700, 0.011036
1612.1980, 0.010949
1614.1270, 0.010710
1616.0550, 0.010895
1617.9840, 0.011009
1619.9120, 0.010692
1621.8400, 0.010320
1623.7690, 0.010059
1625.6970, 0.009700
1627.6260, 0.009418
1629.5540, 0.009109
1631.4830, 0.008787
1633.4110, 0.008722
1635.3400, 0.008776
1637.2680, 0.008389
1639.1970, 0.007969
1641.1250, 0.007788
1643.0540, 0.007652
1644.9820, 0.007502
1646.9110, 0.007287
1648.8390, 0.007078
1650.7670, 0.007226
1652.6960, 0.007480
1654.6240, 0.007160
1656.5530, 0.006671
1658.4810, 0.006361
1660.4100, 0.006511
1662.3380, 0.006677
1664.2670, 0.006476
1666.1950, 0.006435
1668.1240, 0.006478
1670.0520, 0.006579
1671.9810, 0.006456
1673.9090, 0.006299
1675.8380, 0.006428
1677.7660, 0.006281
1679.6940, 0.006315
1681.6230, 0.006331
1683.5510, 0.006434
1685.4800, 0.006409
1687.4080, 0.006189
1689.3370, 0.005952
1691.2650, 0.006010
1693.1940, 0.006049
1695.1220, 0.006173
1697.0510, 0.006322
1698.9790, 0.006205
1700.9080, 0.006182
1702.8360, 0.005983
1704.7650, 0.005967
1706.6930, 0.006023
1708.6210, 0.005744
1710.5500, 0.005387
1712.4780, 0.005370
1714.4070, 0.005522
1716.3350, 0.005530
1718.2640, 0.005311
1720.1920, 0.005176
1722.1210, 0.005091
1724.0490, 0.004905
1725.9780, 0.004846
1727.9060, 0.004853
1729.8350, 0.004843
1731.7630, 0.004942
1733.6920, 0.004996
1735.6200, 0.004688
1737.5480, 0.004161
1739.4770, 0.004234
1741.4050, 0.004292
1743.3340, 0.004309
1745.2620, 0.004445
1747.1910, 0.004260
1749.1190, 0.004357
1751.0480, 0.004656
1752.9760, 0.004511
1754.9050, 0.004445
1756.8330, 0.004517
1758.7620, 0.004646
1760.6900, 0.004781
1762.6190, 0.004558
1764.5470, 0.004452
1766.4750, 0.004821
1768.4040, 0.004975
1770.3320, 0.005108
1772.2610, 0.005333
1774.1890, 0.005161
1776.1180, 0.005092
1778.0460, 0.005513
1779.9750, 0.005727
1781.9030, 0.005531
1783.8320, 0.005461
1785.7600, 0.005793
1787.6890, 0.006351
1789.6170, 0.006630
1791.5460, 0.006812
1793.4740, 0.006860
1795.4020, 0.006904
1797.3310, 0.007093
1799.2590, 0.007486
1801.1880, 0.007996
1803.1160, 0.008147
1805.0450, 0.008459
1806.9730, 0.009044
1808.9020, 0.009228
1810.8300, 0.009535
1812.7590, 0.010110
1814.6870, 0.010554
1816.6160, 0.011158
1818.5440, 0.012103
1820.4730, 0.012964
1822.4010, 0.013350
1824.3290, 0.013311
1826.2580, 0.013138
1828.1860, 0.013021
1830.1150, 0.012691
1832.0430, 0.012176
1833.9720, 0.011922
1835.9000, 0.011665
1837.8290, 0.010994
1839.7570, 0.010499
1841.6860, 0.010184
1843.6140, 0.009707
1845.5430, 0.009102
1847.4710, 0.008855
1849.4000, 0.008170
1851.3280, 0.007183
1853.2560, 0.006918
1855.1850, 0.006651
1857.1130, 0.006127
1859.0420, 0.005842
1860.9700, 0.005758
1862.8990, 0.005781
1864.8270, 0.005585
1866.7560, 0.005384
1868.6840, 0.005695
1870.6130, 0.005654
1872.5410, 0.005237
1874.4700, 0.004982
1876.3980, 0.004848
1878.3270, 0.005175
1880.2550, 0.005144
1882.1830, 0.004967
1884.1120, 0.004427
1886.0400, 0.004144
1887.9690, 0.004777
1889.8970, 0.004730
1891.8260, 0.004492
1893.7540, 0.004929
1895.6830, 0.005323
1897.6110, 0.005157
1899.5400, 0.004912
1901.4680, 0.004457
1903.3970, 0.004236
1905.3250, 0.004336
1907.2540, 0.004373
1909.1820, 0.004507
1911.1100, 0.005215
1913.0390, 0.005582
1914.9670, 0.005370
1916.8960, 0.004730
1918.8240, 0.004345
1920.7530, 0.005155
1922.6810, 0.005460
1924.6100, 0.004664
1926.5380, 0.003627
1928.4670, 0.003657
1930.3950, 0.003921
1932.3240, 0.003697
1934.2520, 0.004256
1936.1810, 0.004655
1938.1090, 0.004623
1940.0370, 0.004179
1941.9660, 0.004149
1943.8940, 0.004616
1945.8230, 0.005306
1947.7510, 0.005262
1949.6800, 0.004448
1951.6080, 0.004011
1953.5370, 0.003624
1955.4650, 0.003854
1957.3940, 0.004027
1959.3220, 0.004429
1961.2510, 0.004546
1963.1790, 0.004866
1965.1080, 0.005735
1967.0360, 0.005604
1968.9640, 0.003110
1970.8930, 0.002317
1972.8210, 0.003419
1974.7500, 0.004146
1976.6780, 0.004647
1978.6070, 0.004585
1980.5350, 0.005345
1982.4640, 0.005289
1984.3920, 0.003713
1986.3210, 0.003219
1988.2490, 0.004115
1990.1780, 0.004361
1992.1060, 0.003746
1994.0350, 0.004730
1995.9630, 0.004009
1997.8910, 0.002933
1999.8200, 0.002942
2001.7480, 0.002598
2003.6770, 0.003053
2005.6050, 0.003374
2007.5340, 0.003094
2009.4620, 0.003119
2011.3910, 0.002990
2013.3190, 0.002812
2015.2480, 0.003457
2017.1760, 0.004083
2019.1050, 0.004530
2021.0330, 0.003482
2022.9620, 0.001992
2024.8900, 0.001801
2026.8180, 0.002089
2028.7470, 0.003264
