##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y^3+^,Ca,Ce^3+^,U^4+^,Th^4+^)(Nb^5+^,Ta^5+^,Ti^4+^)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
8.678100e+002, 3.907015e-002
8.697385e+002, 3.652560e-002
8.716669e+002, 3.434642e-002
8.735954e+002, 3.265101e-002
8.755239e+002, 3.115509e-002
8.774523e+002, 2.973768e-002
8.793808e+002, 2.844503e-002
8.813093e+002, 2.727728e-002
8.832377e+002, 2.620761e-002
8.851662e+002, 2.528113e-002
8.870947e+002, 2.440546e-002
8.890231e+002, 2.366973e-002
8.909516e+002, 2.306645e-002
8.928801e+002, 2.236537e-002
8.948085e+002, 2.180943e-002
8.967370e+002, 2.142868e-002
8.986655e+002, 2.098008e-002
9.005939e+002, 2.044646e-002
9.025224e+002, 1.993758e-002
9.044509e+002, 1.960960e-002
9.063793e+002, 1.937077e-002
9.083078e+002, 1.897914e-002
9.102363e+002, 1.857831e-002
9.121647e+002, 1.840580e-002
9.140932e+002, 1.816890e-002
9.160217e+002, 1.792767e-002
9.179501e+002, 1.769426e-002
9.198786e+002, 1.738033e-002
9.218071e+002, 1.708109e-002
9.237355e+002, 1.680861e-002
9.256640e+002, 1.658437e-002
9.275925e+002, 1.637097e-002
9.295209e+002, 1.613449e-002
9.314494e+002, 1.581713e-002
9.333779e+002, 1.560949e-002
9.353063e+002, 1.540290e-002
9.372348e+002, 1.516694e-002
9.391633e+002, 1.496614e-002
9.410917e+002, 1.479627e-002
9.430202e+002, 1.461511e-002
9.449487e+002, 1.456389e-002
9.468771e+002, 1.434936e-002
9.488056e+002, 1.401652e-002
9.507341e+002, 1.380875e-002
9.526625e+002, 1.365242e-002
9.545910e+002, 1.356216e-002
9.565195e+002, 1.345352e-002
9.584479e+002, 1.320624e-002
9.603764e+002, 1.307655e-002
9.623049e+002, 1.292551e-002
9.642333e+002, 1.277609e-002
9.661618e+002, 1.275771e-002
9.680903e+002, 1.276486e-002
9.700187e+002, 1.257508e-002
9.719472e+002, 1.232939e-002
9.738757e+002, 1.219347e-002
9.758041e+002, 1.210389e-002
9.777326e+002, 1.191785e-002
9.796611e+002, 1.170296e-002
9.815895e+002, 1.163544e-002
9.835180e+002, 1.157907e-002
9.854465e+002, 1.144842e-002
9.873749e+002, 1.130284e-002
9.893034e+002, 1.118934e-002
9.912319e+002, 1.108985e-002
9.931603e+002, 1.099545e-002
9.950888e+002, 1.097148e-002
9.970173e+002, 1.096997e-002
9.989457e+002, 1.087283e-002
1.000874e+003, 1.072594e-002
1.002803e+003, 1.060911e-002
1.004731e+003, 1.063329e-002
1.006660e+003, 1.075738e-002
1.008588e+003, 1.079651e-002
1.010517e+003, 1.067195e-002
1.012445e+003, 1.050637e-002
1.014373e+003, 1.057998e-002
1.016302e+003, 1.068530e-002
1.018230e+003, 1.064996e-002
1.020159e+003, 1.063554e-002
1.022087e+003, 1.061916e-002
1.024016e+003, 1.050247e-002
1.025944e+003, 1.046847e-002
1.027873e+003, 1.046779e-002
1.029801e+003, 1.048931e-002
1.031730e+003, 1.058553e-002
1.033658e+003, 1.064484e-002
1.035587e+003, 1.065047e-002
1.037515e+003, 1.062715e-002
1.039443e+003, 1.073662e-002
1.041372e+003, 1.076806e-002
1.043300e+003, 1.066928e-002
1.045229e+003, 1.071510e-002
1.047157e+003, 1.096496e-002
1.049086e+003, 1.104515e-002
1.051014e+003, 1.105126e-002
1.052943e+003, 1.115011e-002
1.054871e+003, 1.121007e-002
1.056800e+003, 1.128985e-002
1.058728e+003, 1.136895e-002
1.060657e+003, 1.143004e-002
1.062585e+003, 1.133404e-002
1.064514e+003, 1.119168e-002
1.066442e+003, 1.133079e-002
1.068370e+003, 1.154503e-002
1.070299e+003, 1.159652e-002
1.072227e+003, 1.146842e-002
1.074156e+003, 1.155034e-002
1.076084e+003, 1.157045e-002
1.078013e+003, 1.162557e-002
1.079941e+003, 1.179510e-002
1.081870e+003, 1.188443e-002
1.083798e+003, 1.192650e-002
1.085727e+003, 1.205216e-002
1.087655e+003, 1.196976e-002
1.089584e+003, 1.193248e-002
1.091512e+003, 1.199540e-002
1.093441e+003, 1.195477e-002
1.095369e+003, 1.188482e-002
1.097297e+003, 1.204030e-002
1.099226e+003, 1.215896e-002
1.101154e+003, 1.227926e-002
1.103083e+003, 1.238264e-002
1.105011e+003, 1.246782e-002
1.106940e+003, 1.238626e-002
1.108868e+003, 1.224199e-002
1.110797e+003, 1.221137e-002
1.112725e+003, 1.223613e-002
1.114654e+003, 1.220582e-002
1.116582e+003, 1.208240e-002
1.118511e+003, 1.202033e-002
1.120439e+003, 1.208345e-002
1.122368e+003, 1.198558e-002
1.124296e+003, 1.182028e-002
1.126224e+003, 1.171399e-002
1.128153e+003, 1.168083e-002
1.130081e+003, 1.171207e-002
1.132010e+003, 1.163070e-002
1.133938e+003, 1.154853e-002
1.135867e+003, 1.156933e-002
1.137795e+003, 1.159225e-002
1.139724e+003, 1.155727e-002
1.141652e+003, 1.149192e-002
1.143581e+003, 1.148617e-002
1.145509e+003, 1.156718e-002
1.147438e+003, 1.166071e-002
1.149366e+003, 1.149080e-002
1.151295e+003, 1.134308e-002
1.153223e+003, 1.143014e-002
1.155151e+003, 1.138578e-002
1.157080e+003, 1.127738e-002
1.159008e+003, 1.140231e-002
1.160937e+003, 1.143753e-002
1.162865e+003, 1.124287e-002
1.164794e+003, 1.107848e-002
1.166722e+003, 1.112468e-002
1.168651e+003, 1.121828e-002
1.170579e+003, 1.126780e-002
1.172508e+003, 1.125534e-002
1.174436e+003, 1.125118e-002
1.176365e+003, 1.132153e-002
1.178293e+003, 1.137059e-002
1.180222e+003, 1.137873e-002
1.182150e+003, 1.139435e-002
1.184078e+003, 1.139425e-002
1.186007e+003, 1.130655e-002
1.187935e+003, 1.136843e-002
1.189864e+003, 1.145101e-002
1.191792e+003, 1.152565e-002
1.193721e+003, 1.152177e-002
1.195649e+003, 1.153204e-002
1.197578e+003, 1.155020e-002
1.199506e+003, 1.157810e-002
1.201435e+003, 1.150877e-002
1.203363e+003, 1.142164e-002
1.205292e+003, 1.143357e-002
1.207220e+003, 1.143551e-002
1.209149e+003, 1.147159e-002
1.211077e+003, 1.145856e-002
1.213005e+003, 1.140451e-002
1.214934e+003, 1.145115e-002
1.216862e+003, 1.158125e-002
1.218791e+003, 1.151454e-002
1.220719e+003, 1.151192e-002
1.222648e+003, 1.153425e-002
1.224576e+003, 1.147482e-002
1.226505e+003, 1.149372e-002
1.228433e+003, 1.150368e-002
1.230362e+003, 1.151450e-002
1.232290e+003, 1.170992e-002
1.234219e+003, 1.167613e-002
1.236147e+003, 1.155282e-002
1.238076e+003, 1.157055e-002
1.240004e+003, 1.164428e-002
1.241932e+003, 1.168401e-002
1.243861e+003, 1.158883e-002
1.245789e+003, 1.164597e-002
1.247718e+003, 1.186223e-002
1.249646e+003, 1.182572e-002
1.251575e+003, 1.181757e-002
1.253503e+003, 1.191015e-002
1.255432e+003, 1.200496e-002
1.257360e+003, 1.204781e-002
1.259289e+003, 1.206531e-002
1.261217e+003, 1.216265e-002
1.263146e+003, 1.229060e-002
1.265074e+003, 1.244561e-002
1.267003e+003, 1.253595e-002
1.268931e+003, 1.259293e-002
1.270859e+003, 1.272659e-002
1.272788e+003, 1.295327e-002
1.274716e+003, 1.327629e-002
1.276645e+003, 1.359498e-002
1.278573e+003, 1.366606e-002
1.280502e+003, 1.361044e-002
1.282430e+003, 1.350324e-002
1.284359e+003, 1.340427e-002
1.286287e+003, 1.344923e-002
1.288216e+003, 1.346279e-002
1.290144e+003, 1.345414e-002
1.292073e+003, 1.359678e-002
1.294001e+003, 1.366992e-002
1.295930e+003, 1.369509e-002
1.297858e+003, 1.373865e-002
1.299786e+003, 1.380765e-002
1.301715e+003, 1.392194e-002
1.303643e+003, 1.384517e-002
1.305572e+003, 1.394088e-002
1.307500e+003, 1.412991e-002
1.309429e+003, 1.421428e-002
1.311357e+003, 1.433644e-002
1.313286e+003, 1.443919e-002
1.315214e+003, 1.451296e-002
1.317143e+003, 1.458147e-002
1.319071e+003, 1.464684e-002
1.321000e+003, 1.466660e-002
1.322928e+003, 1.470496e-002
1.324857e+003, 1.477391e-002
1.326785e+003, 1.485153e-002
1.328714e+003, 1.490691e-002
1.330642e+003, 1.490778e-002
1.332570e+003, 1.500772e-002
1.334499e+003, 1.507260e-002
1.336427e+003, 1.523433e-002
1.338356e+003, 1.539259e-002
1.340284e+003, 1.547524e-002
1.342213e+003, 1.542640e-002
1.344141e+003, 1.550372e-002
1.346070e+003, 1.577384e-002
1.347998e+003, 1.583650e-002
1.349927e+003, 1.594731e-002
1.351855e+003, 1.607591e-002
1.353784e+003, 1.612218e-002
1.355712e+003, 1.621227e-002
1.357641e+003, 1.631455e-002
1.359569e+003, 1.637728e-002
1.361497e+003, 1.647760e-002
1.363426e+003, 1.666884e-002
1.365354e+003, 1.693257e-002
1.367283e+003, 1.700436e-002
1.369211e+003, 1.714955e-002
1.371140e+003, 1.742612e-002
1.373068e+003, 1.755459e-002
1.374997e+003, 1.753440e-002
1.376925e+003, 1.749669e-002
1.378854e+003, 1.765519e-002
1.380782e+003, 1.790525e-002
1.382711e+003, 1.801906e-002
1.384639e+003, 1.804230e-002
1.386568e+003, 1.820303e-002
1.388496e+003, 1.836431e-002
1.390424e+003, 1.860738e-002
1.392353e+003, 1.872631e-002
1.394281e+003, 1.883588e-002
1.396210e+003, 1.904760e-002
1.398138e+003, 1.925215e-002
1.400067e+003, 1.940585e-002
1.401995e+003, 1.949215e-002
1.403924e+003, 1.969935e-002
1.405852e+003, 1.989804e-002
1.407781e+003, 2.015086e-002
1.409709e+003, 2.029444e-002
1.411638e+003, 2.040686e-002
1.413566e+003, 2.043513e-002
1.415495e+003, 2.046955e-002
1.417423e+003, 2.064002e-002
1.419351e+003, 2.088090e-002
1.421280e+003, 2.096851e-002
1.423208e+003, 2.106844e-002
1.425137e+003, 2.124739e-002
1.427065e+003, 2.133355e-002
1.428994e+003, 2.138316e-002
1.430922e+003, 2.152519e-002
1.432851e+003, 2.170850e-002
1.434779e+003, 2.193938e-002
1.436708e+003, 2.213201e-002
1.438636e+003, 2.214843e-002
1.440565e+003, 2.209851e-002
1.442493e+003, 2.221009e-002
1.444422e+003, 2.242809e-002
1.446350e+003, 2.242997e-002
1.448278e+003, 2.243865e-002
1.450207e+003, 2.262879e-002
1.452135e+003, 2.278613e-002
1.454064e+003, 2.287048e-002
1.455992e+003, 2.296095e-002
1.457921e+003, 2.301385e-002
1.459849e+003, 2.299534e-002
1.461778e+003, 2.298850e-002
1.463706e+003, 2.309150e-002
1.465635e+003, 2.318356e-002
1.467563e+003, 2.325098e-002
1.469492e+003, 2.327113e-002
1.471420e+003, 2.321081e-002
1.473349e+003, 2.328396e-002
1.475277e+003, 2.339834e-002
1.477205e+003, 2.347640e-002
1.479134e+003, 2.370783e-002
1.481062e+003, 2.379918e-002
1.482991e+003, 2.387724e-002
1.484919e+003, 2.398064e-002
1.486848e+003, 2.401623e-002
1.488776e+003, 2.415445e-002
1.490705e+003, 2.421870e-002
1.492633e+003, 2.430764e-002
1.494562e+003, 2.459401e-002
1.496490e+003, 2.471196e-002
1.498419e+003, 2.484747e-002
1.500347e+003, 2.507403e-002
1.502276e+003, 2.520554e-002
1.504204e+003, 2.545172e-002
1.506132e+003, 2.575905e-002
1.508061e+003, 2.573870e-002
1.509989e+003, 2.579462e-002
1.511918e+003, 2.604837e-002
1.513846e+003, 2.613567e-002
1.515775e+003, 2.630815e-002
1.517703e+003, 2.653865e-002
1.519632e+003, 2.672588e-002
1.521560e+003, 2.691043e-002
1.523489e+003, 2.693686e-002
1.525417e+003, 2.701002e-002
1.527346e+003, 2.736458e-002
1.529274e+003, 2.760035e-002
1.531203e+003, 2.779198e-002
1.533131e+003, 2.792344e-002
1.535059e+003, 2.803230e-002
1.536988e+003, 2.838750e-002
1.538916e+003, 2.871321e-002
1.540845e+003, 2.877072e-002
1.542773e+003, 2.870790e-002
1.544702e+003, 2.864502e-002
1.546630e+003, 2.886537e-002
1.548559e+003, 2.912861e-002
1.550487e+003, 2.923732e-002
1.552416e+003, 2.930672e-002
1.554344e+003, 2.950817e-002
1.556273e+003, 2.964477e-002
1.558201e+003, 2.976033e-002
1.560130e+003, 2.986020e-002
1.562058e+003, 2.998236e-002
1.563986e+003, 3.002923e-002
1.565915e+003, 2.996491e-002
1.567843e+003, 3.003553e-002
1.569772e+003, 3.020050e-002
1.571700e+003, 3.030042e-002
1.573629e+003, 3.045703e-002
1.575557e+003, 3.067342e-002
1.577486e+003, 3.074693e-002
1.579414e+003, 3.082869e-002
1.581343e+003, 3.088798e-002
1.583271e+003, 3.107152e-002
1.585200e+003, 3.122235e-002
1.587128e+003, 3.142098e-002
1.589057e+003, 3.172196e-002
1.590985e+003, 3.193324e-002
1.592913e+003, 3.197997e-002
1.594842e+003, 3.206623e-002
1.596770e+003, 3.222393e-002
1.598699e+003, 3.239970e-002
1.600627e+003, 3.244757e-002
1.602556e+003, 3.259833e-002
1.604484e+003, 3.269896e-002
1.606413e+003, 3.268030e-002
1.608341e+003, 3.273758e-002
1.610270e+003, 3.289258e-002
1.612198e+003, 3.309823e-002
1.614127e+003, 3.322462e-002
1.616055e+003, 3.341144e-002
1.617984e+003, 3.354110e-002
1.619912e+003, 3.350767e-002
1.621840e+003, 3.358515e-002
1.623769e+003, 3.378379e-002
1.625697e+003, 3.397701e-002
1.627626e+003, 3.425666e-002
1.629554e+003, 3.431992e-002
1.631483e+003, 3.438732e-002
1.633411e+003, 3.451950e-002
1.635340e+003, 3.466858e-002
1.637268e+003, 3.477623e-002
1.639197e+003, 3.491392e-002
1.641125e+003, 3.507140e-002
1.643054e+003, 3.517083e-002
1.644982e+003, 3.528019e-002
1.646911e+003, 3.541616e-002
1.648839e+003, 3.539277e-002
1.650767e+003, 3.539405e-002
1.652696e+003, 3.559127e-002
1.654624e+003, 3.577108e-002
1.656553e+003, 3.581485e-002
1.658481e+003, 3.573266e-002
1.660410e+003, 3.562165e-002
1.662338e+003, 3.584048e-002
1.664267e+003, 3.610972e-002
1.666195e+003, 3.624094e-002
1.668124e+003, 3.633414e-002
1.670052e+003, 3.641589e-002
1.671981e+003, 3.646213e-002
1.673909e+003, 3.654437e-002
1.675838e+003, 3.669888e-002
1.677766e+003, 3.673322e-002
1.679694e+003, 3.667922e-002
1.681623e+003, 3.679903e-002
1.683551e+003, 3.705023e-002
1.685480e+003, 3.707540e-002
1.687408e+003, 3.694304e-002
1.689337e+003, 3.712391e-002
1.691265e+003, 3.729463e-002
1.693194e+003, 3.742699e-002
1.695122e+003, 3.764954e-002
1.697051e+003, 3.773528e-002
1.698979e+003, 3.794296e-002
1.700908e+003, 3.812291e-002
1.702836e+003, 3.820600e-002
1.704765e+003, 3.827056e-002
1.706693e+003, 3.840914e-002
1.708621e+003, 3.848581e-002
1.710550e+003, 3.845708e-002
1.712478e+003, 3.854914e-002
1.714407e+003, 3.882394e-002
1.716335e+003, 3.910778e-002
1.718264e+003, 3.922025e-002
1.720192e+003, 3.932650e-002
1.722121e+003, 3.947183e-002
1.724049e+003, 3.965485e-002
1.725978e+003, 3.983960e-002
1.727906e+003, 4.005210e-002
1.729835e+003, 4.017226e-002
1.731763e+003, 4.013061e-002
1.733692e+003, 3.999554e-002
1.735620e+003, 3.979342e-002
1.737548e+003, 3.965145e-002
1.739477e+003, 3.970409e-002
1.741405e+003, 3.961159e-002
1.743334e+003, 3.953385e-002
1.745262e+003, 3.953274e-002
1.747191e+003, 3.955940e-002
1.749119e+003, 3.960118e-002
1.751048e+003, 3.975787e-002
1.752976e+003, 4.000082e-002
1.754905e+003, 4.008988e-002
1.756833e+003, 4.034152e-002
1.758762e+003, 4.057008e-002
1.760690e+003, 4.079522e-002
1.762619e+003, 4.097581e-002
1.764547e+003, 4.116086e-002
1.766475e+003, 4.119978e-002
1.768404e+003, 4.134864e-002
1.770332e+003, 4.170535e-002
1.772261e+003, 4.199508e-002
1.774189e+003, 4.197423e-002
1.776118e+003, 4.198294e-002
1.778046e+003, 4.199667e-002
1.779975e+003, 4.215308e-002
1.781903e+003, 4.236686e-002
1.783832e+003, 4.257131e-002
1.785760e+003, 4.278181e-002
1.787689e+003, 4.286757e-002
1.789617e+003, 4.293738e-002
1.791546e+003, 4.313780e-002
1.793474e+003, 4.331125e-002
1.795402e+003, 4.335267e-002
1.797331e+003, 4.344211e-002
1.799259e+003, 4.367903e-002
1.801188e+003, 4.387726e-002
1.803116e+003, 4.385474e-002
1.805045e+003, 4.394908e-002
1.806973e+003, 4.420636e-002
1.808902e+003, 4.427789e-002
1.810830e+003, 4.424334e-002
1.812759e+003, 4.453550e-002
1.814687e+003, 4.464842e-002
1.816616e+003, 4.467045e-002
1.818544e+003, 4.495525e-002
1.820473e+003, 4.517655e-002
1.822401e+003, 4.541662e-002
1.824329e+003, 4.565899e-002
1.826258e+003, 4.583432e-002
1.828186e+003, 4.587033e-002
1.830115e+003, 4.589399e-002
1.832043e+003, 4.604686e-002
1.833972e+003, 4.620911e-002
1.835900e+003, 4.626905e-002
1.837829e+003, 4.641878e-002
1.839757e+003, 4.681231e-002
1.841686e+003, 4.707772e-002
1.843614e+003, 4.712825e-002
1.845543e+003, 4.723955e-002
1.847471e+003, 4.730846e-002
1.849400e+003, 4.749819e-002
1.851328e+003, 4.758657e-002
1.853256e+003, 4.752168e-002
1.855185e+003, 4.789560e-002
1.857113e+003, 4.831123e-002
1.859042e+003, 4.851713e-002
1.860970e+003, 4.897256e-002
1.862899e+003, 4.881386e-002
1.864827e+003, 4.854228e-002
1.866756e+003, 4.877100e-002
1.868684e+003, 4.911207e-002
1.870613e+003, 4.931205e-002
1.872541e+003, 4.923651e-002
1.874470e+003, 4.922276e-002
1.876398e+003, 4.986877e-002
1.878327e+003, 5.001504e-002
1.880255e+003, 4.999459e-002
1.882183e+003, 5.021900e-002
1.884112e+003, 5.019133e-002
1.886040e+003, 5.027001e-002
1.887969e+003, 5.055691e-002
1.889897e+003, 5.090065e-002
1.891826e+003, 5.089897e-002
1.893754e+003, 5.080860e-002
1.895683e+003, 5.095443e-002
1.897611e+003, 5.114045e-002
1.899540e+003, 5.094454e-002
1.901468e+003, 5.120445e-002
1.903397e+003, 5.158900e-002
1.905325e+003, 5.163784e-002
1.907254e+003, 5.184153e-002
1.909182e+003, 5.220858e-002
1.911110e+003, 5.206220e-002
1.913039e+003, 5.203995e-002
1.914967e+003, 5.250289e-002
1.916896e+003, 5.298940e-002
1.918824e+003, 5.307686e-002
1.920753e+003, 5.298791e-002
1.922681e+003, 5.301260e-002
1.924610e+003, 5.279646e-002
1.926538e+003, 5.324840e-002
1.928467e+003, 5.393953e-002
