##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
563.1123, 0.2231574
565.0408, 0.2187192
566.9692, 0.2142922
568.8977, 0.2091486
570.8262, 0.2025845
572.7546, 0.1948671
574.6831, 0.1893020
576.6116, 0.1845194
578.5400, 0.1795294
580.4685, 0.1742299
582.3970, 0.1703792
584.3254, 0.1667540
586.2539, 0.1626466
588.1824, 0.1592427
590.1108, 0.1571770
592.0393, 0.1541049
593.9678, 0.1498866
595.8962, 0.1474989
597.8247, 0.1459044
599.7532, 0.1441745
601.6816, 0.1424579
603.6101, 0.1407516
605.5386, 0.1393048
607.4670, 0.1386069
609.3955, 0.1382082
611.3240, 0.1380442
613.2524, 0.1379654
615.1809, 0.1382646
617.1094, 0.1384709
619.0378, 0.1382340
620.9663, 0.1384402
622.8948, 0.1384773
624.8232, 0.1383604
626.7517, 0.1381522
628.6802, 0.1373809
630.6086, 0.1364996
632.5371, 0.1350537
634.4656, 0.1336141
636.3940, 0.1320996
638.3225, 0.1299561
640.2510, 0.1279280
642.1794, 0.1260905
644.1079, 0.1249113
646.0364, 0.1240521
647.9648, 0.1235433
649.8933, 0.1231963
651.8218, 0.1231185
653.7502, 0.1237645
655.6787, 0.1249494
657.6072, 0.1259400
659.5356, 0.1275337
661.4641, 0.1296696
663.3926, 0.1314908
665.3210, 0.1341290
667.2495, 0.1375123
669.1780, 0.1413234
671.1064, 0.1452414
673.0349, 0.1493949
674.9634, 0.1541372
676.8918, 0.1597591
678.8203, 0.1660743
680.7488, 0.1725749
682.6772, 0.1791867
684.6057, 0.1861557
686.5342, 0.1931942
688.4626, 0.2002328
690.3911, 0.2063092
692.3196, 0.2117410
694.2480, 0.2158240
696.1765, 0.2176532
698.1050, 0.2195217
700.0334, 0.2214240
701.9619, 0.2228951
703.8904, 0.2250229
705.8188, 0.2275799
707.7473, 0.2294174
709.6758, 0.2313016
711.6042, 0.2336273
713.5327, 0.2349123
715.4612, 0.2356995
717.3896, 0.2371483
719.3181, 0.2386566
721.2466, 0.2387787
723.1750, 0.2381955
725.1035, 0.2378948
727.0320, 0.2370536
728.9604, 0.2360886
730.8889, 0.2346019
732.8174, 0.2323495
734.7458, 0.2298371
736.6743, 0.2272609
738.6028, 0.2250449
740.5313, 0.2218675
742.4597, 0.2181538
744.3882, 0.2149459
746.3167, 0.2115021
748.2451, 0.2076426
750.1736, 0.2034945
752.1021, 0.1994801
754.0305, 0.1955690
755.9590, 0.1919341
757.8875, 0.1883010
759.8159, 0.1852819
761.7444, 0.1828243
763.6729, 0.1804644
765.6013, 0.1789893
767.5298, 0.1781764
769.4583, 0.1773362
771.3867, 0.1774144
773.3152, 0.1786368
775.2437, 0.1800991
777.1721, 0.1825227
779.1006, 0.1853712
781.0291, 0.1885559
782.9575, 0.1920139
784.8860, 0.1956680
786.8145, 0.1998213
788.7429, 0.2044935
790.6714, 0.2090860
792.5999, 0.2143373
794.5283, 0.2196700
796.4568, 0.2235022
798.3853, 0.2261554
800.3137, 0.2285765
802.2422, 0.2294509
804.1707, 0.2286542
806.0991, 0.2268400
808.0276, 0.2235030
809.9561, 0.2188546
811.8845, 0.2127092
813.8130, 0.2057434
815.7415, 0.1987890
817.6699, 0.1923707
819.5984, 0.1866164
821.5269, 0.1823554
823.4553, 0.1806289
825.3838, 0.1812253
827.3123, 0.1837630
829.2407, 0.1883036
831.1692, 0.1946090
833.0977, 0.2031260
835.0261, 0.2131822
836.9546, 0.2240842
838.8831, 0.2350625
840.8115, 0.2446724
842.7400, 0.2510501
844.6685, 0.2539682
846.5969, 0.2528956
848.5254, 0.2483269
850.4539, 0.2417386
852.3823, 0.2339859
854.3108, 0.2258102
856.2393, 0.2167960
858.1677, 0.2078305
860.0962, 0.1990353
862.0247, 0.1904932
863.9531, 0.1819491
865.8816, 0.1748550
867.8101, 0.1686167
869.7385, 0.1632574
871.6670, 0.1592470
873.5955, 0.1564140
875.5239, 0.1547192
877.4524, 0.1543462
879.3809, 0.1548636
881.3093, 0.1563021
883.2378, 0.1592437
885.1663, 0.1634760
887.0947, 0.1686056
889.0232, 0.1751635
890.9517, 0.1831607
892.8801, 0.1919371
894.8085, 0.2018114
896.7370, 0.2130890
898.6655, 0.2250918
900.5939, 0.2374644
902.5224, 0.2499293
904.4509, 0.2612606
